Unnamed: 0,Interaction,Value,Time,Attribute,User_Index
260,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-color,Major_Genre-nominal-y",1604515749852,"['Creative_Type', 'Major_Genre']",260
261,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-color,Major_Genre-nominal-y",1604515749852,"['Creative_Type', 'Major_Genre']",261
262,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-color,Major_Genre-nominal-y",1604515749902,"['Creative_Type', 'Major_Genre']",262
412,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Release_Date-nominal-row",1604515775784,"['Major_Genre', 'Release_Date']",412
413,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Release_Date-nominal-row",1604515776134,"['Major_Genre', 'Release_Date']",413
414,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Release_Date-nominal-row",1604515776166,"['Major_Genre', 'Release_Date']",414
415,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Release_Date-nominal-row",1604515776723,"['Major_Genre', 'Release_Date']",415
443,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Release_Date-nominal-row",1604515779147,"['Major_Genre', 'Release_Date']",443
444,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Release_Date-nominal-row",1604515779180,"['Major_Genre', 'Release_Date']",444
445,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Release_Date-nominal-row",1604515779180,"['Major_Genre', 'Release_Date']",445
446,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Release_Date-nominal-row",1604515779820,"['Major_Genre', 'Release_Date']",446
447,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Release_Date-nominal-row",1604515779852,"['Major_Genre', 'Release_Date']",447
448,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Release_Date-nominal-row",1604515779869,"['Major_Genre', 'Release_Date']",448
449,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Release_Date-nominal-row",1604515780588,"['Major_Genre', 'Release_Date']",449
472,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Production_Budget-quantitative-color<aggregate>mean",1604515784049,"['Major_Genre', 'Production_Budget']",472
473,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Production_Budget-quantitative-color<aggregate>mean",1604515784066,"['Major_Genre', 'Production_Budget']",473
474,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Production_Budget-quantitative-color<aggregate>mean",1604515784066,"['Major_Genre', 'Production_Budget']",474
475,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Production_Budget-quantitative-color<aggregate>mean",1604515785966,"['Major_Genre', 'Production_Budget']",475
586,added chart to bookmark,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Production_Budget-quantitative-color<aggregate>mean",1604515820533,"['Major_Genre', 'Production_Budget']",586
587,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Source-nominal-color",1604515821928,"['Major_Genre', 'Source']",587
588,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Source-nominal-color",1604515821994,"['Major_Genre', 'Source']",588
589,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Source-nominal-color",1604515821994,"['Major_Genre', 'Source']",589
611,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Source-nominal-color",1604515822753,"['Major_Genre', 'Source']",611
612,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Source-nominal-color",1604515822968,"['Major_Genre', 'Source']",612
613,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Source-nominal-color",1604515822985,"['Major_Genre', 'Source']",613
614,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Source-nominal-color",1604515822985,"['Major_Genre', 'Source']",614
615,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Source-nominal-color",1604515823034,"['Major_Genre', 'Source']",615
616,clicked on a field,add Rotten_Tomatoes_Rating,1604515825619,['None'],616
617,main chart changed because of clicking a field,"mark:tick;encoding:Major_Genre-nominal-y,Rotten_Tomatoes_Rating-quantitative-x",1604515825758,"['Major_Genre', 'Rotten_Tomatoes_Rating']",617
619,clicked on a field,remove Major_Genre,1604515835205,['None'],619
620,main chart changed because of clicking a field,mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,1604515835255,['Rotten_Tomatoes_Rating'],620
621,clicked on a field,add Worldwide_Gross,1604515839682,['None'],621
622,main chart changed because of clicking a field,"mark:point;encoding:Rotten_Tomatoes_Rating-quantitative-x,Worldwide_Gross-quantitative-y",1604515839747,"['Rotten_Tomatoes_Rating', 'Worldwide_Gross']",622
623,mouseover on the specified chart,"mark:point;encoding:Rotten_Tomatoes_Rating-quantitative-x,Worldwide_Gross-quantitative-y",1604515841185,"['Rotten_Tomatoes_Rating', 'Worldwide_Gross']",623
624,mouseout on the specified chart,"mark:point;encoding:Rotten_Tomatoes_Rating-quantitative-x,Worldwide_Gross-quantitative-y",1604515850315,"['Rotten_Tomatoes_Rating', 'Worldwide_Gross']",624
625,mouseover on the specified chart,"mark:point;encoding:Rotten_Tomatoes_Rating-quantitative-x,Worldwide_Gross-quantitative-y",1604515850316,"['Rotten_Tomatoes_Rating', 'Worldwide_Gross']",625
