Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon,Openended,Task
ActorCritic,stu14_bcf_p1,0.7,0.0001,0.99,1.0,0.7777777777777778,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,stu14_bcf_p1,0.8,0.0001,0.9,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,stu14_bcf_p1,0.9,0.0001,0.2,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,stu19_bde_p1,0.05,0.0001,0.2,1.0,0.238095238095238,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,stu19_bde_p1,0.1,0.0001,0.2,1.0,0.2,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,stu19_bde_p1,0.2,0.1,0.8,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,stu19_bde_p1,0.3,0.001,0.2,1.0,0.25,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,stu19_bde_p1,0.4,0.001,0.1,1.0,0.7142857142857143,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,stu19_bde_p1,0.5,0.0001,0.99,1.0,0.7272727272727273,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,stu19_bde_p1,0.6,0.0001,0.8,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,stu19_bde_p1,0.7,0.001,0.05,1.0,0.7142857142857143,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,stu19_bde_p1,0.8,0.001,0.05,1.0,0.8,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,stu19_bde_p1,0.9,0.0001,0.8,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro7_bde_p1,0.05,0.0001,0.05,1.0,0.54,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro7_bde_p1,0.1,0.001,0.5,1.0,0.6595744680851063,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro7_bde_p1,0.2,0.01,0.05,1.0,0.6190476190476191,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro7_bde_p1,0.3,0.0001,0.99,1.0,0.6486486486486487,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro7_bde_p1,0.4,0.0001,0.05,1.0,0.71875,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro7_bde_p1,0.5,0.1,0.2,1.0,0.7692307692307693,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro7_bde_p1,0.6,0.001,0.05,1.0,0.7142857142857143,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro7_bde_p1,0.7,0.001,0.8,1.0,0.75,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro7_bde_p1,0.8,0.0001,0.9,1.0,0.7272727272727273,"[None, None, None]",0.0,0.0,Focused,p1
ActorCritic,pro7_bde_p1,0.9,0.001,0.05,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p1
