Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon,Openended,Task,participant_id,user,threshold,ncp-1
ActorCritic,pro27_bcf_p2,0.1,0.1,0.1,1.0,0.2093023255813953,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro27_bcf_p2,0.2,0.0001,0.99,1.0,0.6052631578947368,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro27_bcf_p2,0.3,0.0001,0.5,1.0,0.6363636363636364,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro27_bcf_p2,0.4,0.01,0.1,1.0,0.6896551724137931,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro27_bcf_p2,0.5,0.01,0.5,1.0,0.7083333333333334,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro27_bcf_p2,0.6,0.01,0.05,1.0,0.631578947368421,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro27_bcf_p2,0.7,0.01,0.2,1.0,0.5333333333333333,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro27_bcf_p2,0.8,0.001,0.8,1.0,0.5,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro27_bcf_p2,0.9,0.001,0.05,1.0,0.8,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro11_bcf_p2,0.05,0.0001,0.9,1.0,0.5434782608695652,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro11_bcf_p2,0.1,0.0001,0.1,1.0,0.5681818181818182,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro11_bcf_p2,0.2,0.0001,0.99,1.0,0.282051282051282,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro11_bcf_p2,0.3,0.001,0.1,1.0,0.6176470588235294,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro11_bcf_p2,0.4,0.0001,0.1,1.0,0.6206896551724138,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro11_bcf_p2,0.5,0.0001,0.5,1.0,0.5416666666666666,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro11_bcf_p2,0.6,0.0001,0.8,1.0,0.6,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro11_bcf_p2,0.7,0.001,0.1,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro11_bcf_p2,0.8,0.001,0.2,1.0,0.7,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro11_bcf_p2,0.9,0.001,0.5,1.0,0.8,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro30_bde_p2,0.05,0.0001,0.8,1.0,0.25,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro30_bde_p2,0.1,0.0001,0.05,1.0,0.5333333333333333,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro30_bde_p2,0.2,0.0001,0.5,1.0,0.4615384615384615,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro30_bde_p2,0.3,0.0001,0.05,1.0,0.25,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro30_bde_p2,0.4,0.001,0.1,1.0,0.1,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro30_bde_p2,0.5,0.001,0.5,1.0,0.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro30_bde_p2,0.6,0.0001,0.2,1.0,0.2857142857142857,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro30_bde_p2,0.7,0.1,0.05,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro30_bde_p2,0.8,0.0001,0.5,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro30_bde_p2,0.9,0.0001,0.1,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro6_bde_p2,0.05,0.0001,0.05,1.0,0.4761904761904761,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro6_bde_p2,0.1,0.0001,0.1,1.0,0.6,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro6_bde_p2,0.2,0.0001,0.2,1.0,0.5,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro6_bde_p2,0.3,0.001,0.05,1.0,0.6875,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro6_bde_p2,0.4,0.5,0.05,1.0,0.7857142857142857,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro6_bde_p2,0.5,0.0001,0.99,1.0,0.8181818181818182,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro6_bde_p2,0.6,0.0001,0.8,1.0,0.8888888888888888,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro6_bde_p2,0.7,0.001,0.8,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro6_bde_p2,0.8,0.001,0.1,1.0,0.8,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro6_bde_p2,0.9,0.0001,0.8,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro19_bcf_p2,0.05,0.0001,0.05,1.0,0.1935483870967742,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro19_bcf_p2,0.1,0.001,0.2,1.0,0.2542372881355932,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro19_bcf_p2,0.2,0.0001,0.5,1.0,0.5192307692307693,"[None, None, None]",0.0,0.0,Focused,p2,,,,
