UserIndex,Action,State,TimeStamp,HighLevelAction,HighLevelStateActionProbab,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Subtask_ROI,Latitude,Longitude,All_address,All_raw_address,Most_frequent_state,Most_frequent_region,Angle,high-level-action
21,pan,Navigation,2016-06-06 20:17:15.099,same,0.42857142857142855,0.18181818181818182,1.379,0,1,1,2,0.0,1,2,47.377750000000006,-105.25985,"['West', 'NorthernRockiesPlains', 'West', 'NorthernRockiesPlains', 'West', 'NorthernRockiesPlains', 'West', 'NorthernRockiesPlains']","[[41.761, -116.496], [52.9945, -94.0237], [41.761, -116.496], [52.9945, -94.0237], [41.761, -116.496], [52.9945, -94.0237], [41.761, -116.496], [52.9945, -94.0237]]",Nevada,West,340.98899686500226,same
22,zoom,Navigation,2016-06-06 20:17:15.856,same,0.5,0.6666666666666666,0.757,0,1,1,3,0.47314325,1,2,36.742025,-91.477625,"['None', 'None', 'NorthernRockiesPlains', 'None', 'NorthWest', 'None', 'Other']","[[41.7759, -124.65], [48.4972, -112.005], [49.1719, -132.156], [52.9938, -125.507], [48.5013, -125.495], [52.9961, -112.008]]",None,None,0.0,same
23,zoom,Navigation,2016-06-06 20:17:16.761,same,0.5555555555555556,0.6923076923076923,0.905,0,1,1,4,0.5918593750000001,1,2,45.1312375,-118.507375,"['West', 'NorthWest', 'West', 'NorthernRockiesPlains', 'None', 'NorthWest', 'NorthWest', 'NorthernRockiesPlains']","[[41.7788, -124.358], [45.112, -118.753], [41.7759, -118.75], [45.1161, -112.005], [45.1393, -124.664], [48.4949, -118.763], [45.1357, -118.749], [48.4972, -112.017]]",Oregon,NorthWest,0.0,same
24,pan,Navigation,2016-06-06 20:17:19.515,same,0.6,0.21428571428571427,2.754,10,1,1,4,0.317881375,1,2,50.18775,-117.060625,"['None', 'NorthWest', 'NorthWest', 'Other', 'NorthWest', 'Other', 'NorthWest', 'Other']","[[48.5002, -125.495], [51.8744, -118.758], [48.505, -118.734], [51.8708, -112.01], [48.505, -118.734], [51.8708, -112.01], [48.505, -118.734], [51.8708, -112.01]]",Washington,NorthWest,352.90682802621285,same
25,zoom,Navigation,2016-06-06 20:17:20.346,same,0.6363636363636364,0.6666666666666666,0.831,10,1,1,5,0.584113375,1,2,46.910762500000004,-121.88675,"['NorthWest', 'NorthWest', 'NorthWest', 'NorthWest', 'None', 'NorthWest', 'NorthWest', 'NorthWest']","[[45.225, -124.028], [46.873, -122.084], [45.2255, -122.077], [46.9143, -118.749], [46.9181, -124.675], [48.6062, -122.08], [46.9167, -122.076], [48.6073, -119.325]]",Washington,NorthWest,0.0,same
26,pan,Sensemaking,2016-06-06 20:17:24.982,change,1.0,0.5,4.636,10,1,1,5,0.27664825,1,2,47.3326,-116.97149999999999,"['NorthWest', 'NorthWest', 'NorthWest', 'NorthernRockiesPlains', 'NorthWest', 'NorthernRockiesPlains', 'NorthWest', 'NorthernRockiesPlains']","[[45.2255, -118.573], [46.9131, -115.313], [46.9166, -118.648], [48.5908, -115.314], [46.9166, -118.648], [48.5908, -115.314], [46.9166, -118.648], [48.5908, -115.314]]",Washington,NorthWest,342.5790833632284,change
27,zoom,Navigation,2016-06-06 20:17:29.697,change,0.4166666666666667,0.6875,4.715,10,2,1,4,0.645461125,1,3,48.5021875,-118.64875,"['None', 'NorthWest', 'NorthWest', 'NorthernRockiesPlains', 'None', 'NorthWest', 'NorthWest', 'Other']","[[45.1393, -124.664], [48.4949, -118.763], [45.1357, -118.749], [48.4972, -112.017], [48.5002, -125.495], [51.8744, -118.758], [48.505, -118.734], [51.8708, -112.01]]",None,NorthWest,0.0,change
28,zoom,Navigation,2016-06-06 20:17:30.633,same,0.6153846153846154,0.7058823529411765,0.936,10,2,1,3,0.47314325,1,3,36.742025,-91.477625,"['None', 'None', 'NorthernRockiesPlains', 'None', 'NorthWest', 'None', 'Other']","[[41.7759, -124.65], [48.4972, -112.005], [49.1719, -132.156], [52.9938, -125.507], [48.5013, -125.495], [52.9961, -112.008]]",None,None,0.0,same
29,zoom,Navigation,2016-06-06 20:17:31.667,same,0.6428571428571429,0.7222222222222222,1.034,10,2,1,2,0.3336255,1,3,47.379675000000006,-110.0281375,"['None', 'Other', 'West', 'NorthernRockiesPlains', 'West', 'NorthernRockiesPlains', 'West', 'NorthernRockiesPlains']","[[41.7792, -132.156], [52.9917, -116.51], [41.761, -116.496], [52.9945, -94.0237], [41.761, -116.496], [52.9945, -94.0237], [41.761, -116.496], [52.9945, -94.0237]]",Nevada,West,0.0,same
30,zoom,Navigation,2016-06-06 20:17:33.496,same,0.6666666666666666,0.7368421052631579,1.829,10,2,1,1,0.169158125,1,3,41.7686,-113.03835000000001,"['None', 'NorthernRockiesPlains', 'None', 'NorthernRockiesPlains', 'None', 'NorthernRockiesPlains', 'None', 'NorthernRockiesPlains']","[[30.5427, -132.053], [52.9945, -94.0237], [30.5427, -132.053], [52.9945, -94.0237], [30.5427, -132.053], [52.9945, -94.0237], [30.5427, -132.053], [52.9945, -94.0237]]",None,None,0.0,same
31,pan,Foraging,2016-06-06 20:17:35.974,change,0.2,0.5789473684210527,2.478,10,2,1,1,0.1608085,1,3,41.7668,-79.5355,"['South', 'Other', 'South', 'Other', 'South', 'Other', 'South', 'Other']","[[30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151]]",Texas,South,336.1264021375687,change
32,pan,Foraging,2016-06-06 20:17:42.156,same,0.8125,0.6,6.182,0,2,1,1,0.0,1,3,41.7668,-79.5355,"['South', 'Other', 'South', 'Other', 'South', 'Other', 'South', 'Other']","[[30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151]]",Texas,South,349.25960244863853,same
33,zoom,Foraging,2016-06-06 20:17:45.569,same,0.8235294117647058,0.2857142857142857,3.413,0,2,1,2,0.578702375,1,3,42.66595,-75.8294,"['South', 'Northeast', 'Northeast', 'Northeast', 'UpperMidwest', 'Northeast', 'Northeast', 'Northeast']","[[30.5342, -90.8979], [41.7187, -71.5601], [41.3786, -71.4974], [41.7272, -70.6166], [41.7904, -93.9831], [52.9994, -71.5039], [41.7966, -71.4782], [49.3825, -65.098]]",Rhode Island,Northeast,0.0,same
34,zoom,Foraging,2016-06-06 20:17:49.947,same,0.8333333333333334,0.3181818181818182,4.378,0,2,1,1,0.32996662499999996,1,3,41.767250000000004,-87.9112125,"['None', 'NorthernRockiesPlains', 'South', 'Other', 'South', 'Other', 'South', 'Other']","[[30.5427, -132.053], [52.9945, -94.0237], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151]]",Texas,South,0.0,same
35,pan,Foraging,2016-06-06 20:17:51.687,same,0.8421052631578947,0.5652173913043478,1.74,0,2,1,1,0.0,1,3,41.7668,-79.5355,"['South', 'Other', 'South', 'Other', 'South', 'Other', 'South', 'Other']","[[30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151]]",Texas,South,21.525205154385073,same
36,zoom,Navigation,2016-06-06 20:17:52.881,change,0.375,0.75,1.194,0,2,1,2,0.651013625,1,3,42.36835000000001,-113.94953749999999,"['None', 'West', 'None', 'UpperMidwest', 'None', 'Other', 'West', 'NorthernRockiesPlains']","[[35.4656, -124.134], [41.6637, -116.597], [30.5427, -116.467], [41.7484, -95.2126], [41.7792, -132.156], [52.9917, -116.51], [41.761, -116.496], [52.9945, -94.0237]]",None,None,0.0,change
37,pan,Navigation,2016-06-06 20:17:59.582,same,0.6470588235294118,0.19047619047619047,6.701,0,2,1,2,0.0,1,3,47.377750000000006,-105.25985,"['West', 'NorthernRockiesPlains', 'West', 'NorthernRockiesPlains', 'West', 'NorthernRockiesPlains', 'West', 'NorthernRockiesPlains']","[[41.761, -116.496], [52.9945, -94.0237], [41.761, -116.496], [52.9945, -94.0237], [41.761, -116.496], [52.9945, -94.0237], [41.761, -116.496], [52.9945, -94.0237]]",Nevada,West,356.2838733588036,same
38,zoom,Navigation,2016-06-06 20:18:00.321,same,0.6666666666666666,0.7272727272727273,0.739,0,2,1,3,0.650957125,1,3,41.8029375,-111.7233375,"['None', 'SouthWest', 'South', 'NorthernRockiesPlains', 'None', 'NorthernRockiesPlains', 'SouthWest', 'NorthernRockiesPlains']","[[35.4466, -124.124], [41.7065, -112.025], [35.0085, -111.96], [41.7484, -98.5357], [41.7759, -124.65], [48.4972, -112.005], [41.7504, -111.985], [48.49, -98.502]]",None,NorthernRockiesPlains,0.0,same
39,pan,Navigation,2016-06-06 20:18:04.989,same,0.6842105263157895,0.21739130434782608,4.668,0,2,1,3,0.0,1,3,45.1202,-105.2435,"['SouthWest', 'NorthernRockiesPlains', 'SouthWest', 'NorthernRockiesPlains', 'SouthWest', 'NorthernRockiesPlains', 'SouthWest', 'NorthernRockiesPlains']","[[41.7504, -111.985], [48.49, -98.502], [41.7504, -111.985], [48.49, -98.502], [41.7504, -111.985], [48.49, -98.502], [41.7504, -111.985], [48.49, -98.502]]",Utah,SouthWest,355.3546619584118,same
40,zoom,Navigation,2016-06-06 20:18:05.633,same,0.7,0.7083333333333334,0.644,0,2,1,4,0.6345691250000001,1,3,45.122037500000005,-105.2935375,"['SouthWest', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[41.75, -111.985], [45.124, -105.26], [41.7504, -105.244], [45.1093, -98.502], [45.1258, -111.985], [48.49, -105.253], [45.1276, -105.248], [48.4992, -98.8713]]",Montana,NorthernRockiesPlains,0.0,same
41,pan,Navigation,2016-06-06 20:18:08.847,same,0.7142857142857143,0.24,3.214,0,2,1,4,0.307003125,1,3,40.06225,-103.4800875,"['SouthWest', 'NorthernRockiesPlains', 'SouthWest', 'NorthernRockiesPlains', 'SouthWest', 'NorthernRockiesPlains', 'SouthWest', 'NorthernRockiesPlains']","[[38.3778, -111.966], [41.744, -105.315], [38.3755, -105.001], [41.7499, -98.5189], [38.3755, -105.001], [41.7499, -98.5189], [38.3755, -105.001], [41.7499, -98.5189]]",Colorado,SouthWest,19.560426122666733,same
42,zoom,Navigation,2016-06-06 20:18:09.833,same,0.7272727272727273,0.6923076923076923,0.986,10,2,1,5,0.641040375,1,3,43.532125,-108.55525,"['SouthWest', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthWest', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[41.8453, -111.92], [43.5284, -108.544], [41.8405, -108.544], [43.5318, -105.244], [43.5336, -111.918], [45.2215, -108.544], [43.5326, -108.544], [45.2233, -105.184]]",Wyoming,NorthernRockiesPlains,0.0,same
