UserIndex,Action,State,TimeStamp,HighLevelStateActionProbab,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Subtask_ROI,Latitude,Longitude,All_address,All_raw_address,Most_frequent_state,Most_frequent_region,Angle,high-level-action
27,pan,Sensemaking,2016-06-15 16:38:30.833,0.6,0.5714285714285714,10.331,20,2,2,5,2.26497,5,1,49.4608,-96.7744,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other']","[[49.05, -98.3871], [49.8716, -95.1617], [49.05, -98.3871], [49.8716, -95.1617], [49.05, -98.3871], [49.8716, -95.1617], [49.05, -98.3871], [49.8716, -95.1617]]",Manitoba,Other,328.491537772778,same
28,pan,Sensemaking,2016-06-15 16:38:34.753,0.6666666666666666,0.625,3.92,10,3,2,5,2.5824365,6,1,49.043274999999994,-103.465125,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'Other', 'NorthernRockiesPlains', 'Other', 'NorthernRockiesPlains', 'Other']","[[47.018, -105.154], [48.6036, -101.777], [48.6097, -105.153], [50.2985, -101.777], [48.6097, -105.153], [50.2985, -101.777], [48.6097, -105.153], [50.2985, -101.777]]",Montana,NorthernRockiesPlains,32.33297423425921,same
29,pan,Sensemaking,2016-06-15 16:38:36.662,0.7142857142857143,0.6666666666666666,1.909,10,3,2,5,2.2325934999999997,7,1,49.030587499999996,-106.85075,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'Other', 'NorthernRockiesPlains', 'Other', 'NorthernRockiesPlains', 'Other']","[[46.9161, -108.48], [48.6067, -105.178], [48.6087, -108.543], [50.2986, -105.173], [48.6087, -108.543], [50.2986, -105.173], [48.6087, -108.543], [50.2986, -105.173]]",Montana,NorthernRockiesPlains,12.355230674739204,same
30,pan,Sensemaking,2016-06-15 16:38:38.189,0.75,0.7,1.527,10,3,2,5,2.3069059999999997,8,1,49.453649999999996,-106.858,"['NorthernRockiesPlains', 'Other', 'NorthernRockiesPlains', 'Other', 'NorthernRockiesPlains', 'Other', 'NorthernRockiesPlains', 'Other']","[[48.6087, -108.543], [50.2986, -105.173], [48.6087, -108.543], [50.2986, -105.173], [48.6087, -108.543], [50.2986, -105.173], [48.6087, -108.543], [50.2986, -105.173]]",Montana,NorthernRockiesPlains,15.974429291163556,same
31,pan,Sensemaking,2016-06-15 16:38:39.678,0.7777777777777778,0.7272727272727273,1.489,10,3,2,5,2.448767,9,1,49.032425,-110.242625,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'Other', 'NorthernRockiesPlains', 'Other', 'NorthernRockiesPlains', 'Other']","[[46.9199, -111.928], [48.596, -108.579], [48.618, -111.928], [50.2965, -108.55], [48.618, -111.928], [50.2965, -108.55], [48.618, -111.928], [50.2965, -108.55]]",Montana,NorthernRockiesPlains,55.66344197284974,same
32,pan,Sensemaking,2016-06-15 16:38:41.299,0.8,0.75,1.621,10,3,2,5,2.3898625,10,1,46.069849999999995,-107.69525000000002,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[45.2245, -111.913], [46.914, -108.546], [45.2251, -108.54], [46.915, -105.161], [45.2251, -108.54], [46.915, -105.161], [45.2251, -108.54], [46.915, -105.161]]",Montana,NorthernRockiesPlains,2.720404473499643,same
33,pan,Sensemaking,2016-06-15 16:38:42.421,0.8181818181818182,0.7692307692307693,1.122,10,3,2,5,2.423975,11,1,47.3634375,-103.74937499999999,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[45.2275, -105.159], [46.8152, -104.043], [47.018, -105.154], [48.6036, -101.777], [47.018, -105.154], [48.6036, -101.777], [47.018, -105.154], [48.6036, -101.777]]",Montana,NorthernRockiesPlains,2.1211488427442005,same
34,pan,Sensemaking,2016-06-15 16:38:43.869,0.8333333333333334,0.7857142857142857,1.448,0,3,2,5,2.328641,11,1,45.410225,-100.9028375,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[43.6998, -105.152], [45.2228, -103.442], [43.5325, -101.632], [45.1855, -98.3941], [45.9054, -100.353], [46.9152, -98.9483], [45.9054, -100.353], [46.9152, -98.9483]]",South Dakota,NorthernRockiesPlains,325.23841754849747,same
35,pan,Sensemaking,2016-06-15 16:38:45.400,0.8461538461538461,0.8,1.531,0,3,2,5,2.33487,11,1,46.4103,-99.65065,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[45.9054, -100.353], [46.9152, -98.9483], [45.9054, -100.353], [46.9152, -98.9483], [45.9054, -100.353], [46.9152, -98.9483], [45.9054, -100.353], [46.9152, -98.9483]]",South Dakota,NorthernRockiesPlains,354.4400112888974,same
36,pan,Sensemaking,2016-06-15 16:38:54.834,0.8571428571428571,0.8125,9.434,10,3,2,5,2.4762655000000002,11,1,45.5463625,-96.8885375,"['NorthernRockiesPlains', 'UpperMidwest', 'NorthernRockiesPlains', 'UpperMidwest', 'NorthernRockiesPlains', 'UpperMidwest', 'NorthernRockiesPlains', 'UpperMidwest']","[[43.5328, -98.3916], [45.22, -95.0131], [45.2288, -98.3406], [46.6439, -95.5606], [45.2288, -98.3406], [46.6439, -95.5606], [45.2288, -98.3406], [46.6439, -95.5606]]",South Dakota,NorthernRockiesPlains,2.8636819392203106,same
