User,ROI_Cycle,SouthEast,South,OhioValley,NorthernRockiesPlains,SouthWest,NorthWest,UpperMidwest,Northeast,West,Other,None
userid_7d014c75-453b-4188-9e4e-fb086984896a,4,NA,Foraging,NA,Navigation,Sensemaking,Navigation,Navigation,NA,Navigation,Sensemaking,Navigation
userid_7d014c75-453b-4188-9e4e-fb086984896a,5,NA,Foraging,NA,Sensemaking,Navigation,NA,NA,NA,NA,NA,NA
userid_82316e37-1117-4663-84b4-ddb6455c83b2,0,NA,Foraging,NA,Navigation,NA,Navigation,Foraging,Foraging,Foraging,Sensemaking,Navigation
userid_82316e37-1117-4663-84b4-ddb6455c83b2,1,NA,Navigation,NA,Sensemaking,Sensemaking,NA,Navigation,NA,NA,Navigation,Foraging
userid_8b544d24-3274-4bb0-9719-fd2bccc87b02,0,NA,Navigation,NA,Sensemaking,NA,NA,Navigation,NA,NA,NA,Foraging
userid_8b544d24-3274-4bb0-9719-fd2bccc87b02,1,NA,Foraging,NA,Navigation,Sensemaking,NA,Navigation,NA,Navigation,NA,Navigation
userid_8bf5b71b-dfd4-403f-8791-06427b26ccaf,0,NA,Navigation,NA,NA,NA,NA,Sensemaking,Sensemaking,NA,NA,Sensemaking
userid_8bf5b71b-dfd4-403f-8791-06427b26ccaf,1,NA,Sensemaking,NA,Navigation,Foraging,Navigation,NA,NA,NA,NA,Navigation
userid_8bf5b71b-dfd4-403f-8791-06427b26ccaf,2,NA,Foraging,NA,Navigation,NA,Navigation,Foraging,NA,NA,Navigation,Navigation
userid_8bf5b71b-dfd4-403f-8791-06427b26ccaf,3,NA,Navigation,NA,Navigation,Navigation,NA,Navigation,NA,NA,NA,Foraging
userid_93be0a02-3f7a-46c9-b526-aa956ed00856,0,NA,Foraging,NA,Sensemaking,NA,Sensemaking,Navigation,NA,Navigation,NA,Navigation
userid_93be0a02-3f7a-46c9-b526-aa956ed00856,1,NA,Foraging,NA,Foraging,NA,Navigation,NA,NA,NA,NA,Foraging
userid_93be0a02-3f7a-46c9-b526-aa956ed00856,2,NA,NA,NA,Sensemaking,Sensemaking,NA,NA,NA,Foraging,Sensemaking,Sensemaking
userid_954edb7c-4eae-47ab-9338-5c5c7eccac2d,0,NA,Foraging,NA,Navigation,Navigation,Sensemaking,NA,NA,NA,NA,Navigation
userid_954edb7c-4eae-47ab-9338-5c5c7eccac2d,1,NA,Foraging,NA,Navigation,NA,Navigation,Navigation,Navigation,Navigation,NA,Navigation
userid_954edb7c-4eae-47ab-9338-5c5c7eccac2d,2,NA,Foraging,NA,Navigation,Sensemaking,NA,Navigation,NA,NA,NA,Foraging
userid_a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,0,NA,Foraging,NA,Navigation,Navigation,NA,Navigation,NA,NA,Navigation,Navigation
userid_a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,1,NA,Foraging,NA,Navigation,NA,NA,Navigation,NA,NA,NA,Sensemaking
userid_a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,2,NA,NA,NA,Navigation,NA,NA,Navigation,NA,NA,NA,Foraging
userid_ac5b65d7-f260-4534-9fae-d998b726ed32,0,NA,Foraging,NA,Navigation,NA,NA,Navigation,Foraging,NA,Foraging,Foraging
userid_ac5b65d7-f260-4534-9fae-d998b726ed32,1,NA,Foraging,NA,Navigation,NA,Navigation,NA,NA,Navigation,NA,Navigation
userid_ac5b65d7-f260-4534-9fae-d998b726ed32,2,NA,Navigation,NA,Navigation,NA,Sensemaking,Navigation,NA,Foraging,NA,Navigation
userid_ac5b65d7-f260-4534-9fae-d998b726ed32,3,NA,NA,NA,Sensemaking,Sensemaking,Navigation,NA,Foraging,Navigation,NA,Foraging
userid_bc9f9425-e867-4876-a5d9-791229916767,0,NA,Foraging,NA,Navigation,NA,Navigation,Foraging,Navigation,Navigation,Foraging,Foraging
userid_bc9f9425-e867-4876-a5d9-791229916767,1,NA,NA,NA,Foraging,NA,NA,Answering,Navigation,Foraging,NA,Foraging
userid_bda49380-37ad-41c5-a109-7fa198a7691a,0,NA,Navigation,NA,Sensemaking,Navigation,NA,Navigation,NA,NA,NA,Foraging
userid_bda49380-37ad-41c5-a109-7fa198a7691a,1,NA,Navigation,NA,Sensemaking,Sensemaking,Sensemaking,Sensemaking,NA,Foraging,NA,Navigation
userid_bda49380-37ad-41c5-a109-7fa198a7691a,2,NA,Foraging,NA,Navigation,Sensemaking,Sensemaking,Navigation,Foraging,Foraging,Foraging,Foraging
userid_bda49380-37ad-41c5-a109-7fa198a7691a,3,NA,Navigation,NA,Sensemaking,NA,NA,Navigation,NA,Navigation,NA,Sensemaking
userid_cd3ef507-e3e9-4edb-9222-90a69a9bf272,0,NA,Foraging,NA,Sensemaking,NA,Navigation,Navigation,Foraging,Foraging,NA,Foraging
userid_cd3ef507-e3e9-4edb-9222-90a69a9bf272,1,NA,Foraging,NA,Sensemaking,Navigation,Navigation,Foraging,Foraging,Navigation,NA,Navigation
userid_d6555293-35c7-4c27-b522-38d67d2d1b1a,0,NA,Navigation,NA,Navigation,NA,NA,Navigation,Navigation,Navigation,NA,Navigation
userid_d6555293-35c7-4c27-b522-38d67d2d1b1a,1,NA,Foraging,NA,Navigation,NA,Navigation,Navigation,NA,NA,NA,Navigation
userid_d6555293-35c7-4c27-b522-38d67d2d1b1a,2,NA,Navigation,NA,Sensemaking,NA,Navigation,Foraging,Sensemaking,Sensemaking,Foraging,Navigation
userid_da52acdd-3cea-483c-86e5-2c2740d371aa,0,NA,Navigation,NA,Navigation,Sensemaking,Sensemaking,Navigation,NA,Navigation,NA,Navigation
userid_da52acdd-3cea-483c-86e5-2c2740d371aa,1,NA,Navigation,NA,Navigation,Navigation,Navigation,Navigation,NA,Navigation,NA,Navigation
userid_da52acdd-3cea-483c-86e5-2c2740d371aa,2,NA,Navigation,NA,Navigation,Navigation,NA,Navigation,NA,NA,Foraging,Navigation
userid_da52acdd-3cea-483c-86e5-2c2740d371aa,3,NA,NA,NA,Navigation,NA,NA,Foraging,NA,NA,Sensemaking,Navigation
userid_da52acdd-3cea-483c-86e5-2c2740d371aa,4,NA,Navigation,NA,Navigation,NA,NA,Navigation,NA,NA,Navigation,Foraging
userid_e4221e48-0930-40db-af3c-f4de1ed87582,0,NA,Foraging,NA,Navigation,Sensemaking,Navigation,Navigation,NA,Navigation,NA,Foraging
userid_e4221e48-0930-40db-af3c-f4de1ed87582,1,NA,Navigation,NA,NA,Navigation,NA,Foraging,Sensemaking,NA,NA,NA
userid_ff56863b-0710-4a58-ad22-4bf2889c9bc0,0,NA,Navigation,NA,Sensemaking,Navigation,NA,Navigation,NA,NA,NA,Foraging
userid_ff56863b-0710-4a58-ad22-4bf2889c9bc0,1,NA,Navigation,NA,Navigation,NA,Sensemaking,Navigation,NA,Foraging,NA,Navigation
userid_ff56863b-0710-4a58-ad22-4bf2889c9bc0,2,NA,Foraging,NA,Sensemaking,NA,Navigation,Sensemaking,Sensemaking,Foraging,NA,Navigation
userid_ff56863b-0710-4a58-ad22-4bf2889c9bc0,3,NA,Foraging,NA,Sensemaking,Navigation,Navigation,Navigation,Foraging,Navigation,Sensemaking,Foraging
userid_ff56863b-0710-4a58-ad22-4bf2889c9bc0,4,NA,Navigation,NA,Sensemaking,Navigation,NA,Foraging,Foraging,NA,NA,Sensemaking
