u,Trial,Task,Dataset,Experiment,Openendedness,probabsame,probabmodify1,probabmodify2,probabmodify3
pro30,0,p1,birdstrikes,birdstrikesbde,focused,0.8235294117647058,0.1764705882352941,0.0,0.0
pro30,1,p1,birdstrikes,birdstrikesbde,focused,0.5,0.3571428571428571,0.1428571428571428,0.0
pro30,0,p2,birdstrikes,birdstrikesbde,focused,0.4444444444444444,0.5555555555555556,0.0,0.0
pro30,1,p2,birdstrikes,birdstrikesbde,focused,1.0,0.0,0.0,0.0
pro30,0,p3,birdstrikes,birdstrikesbde,open,0.7901234567901234,0.2098765432098765,0.0,0.0
pro30,1,p3,birdstrikes,birdstrikesbde,open,0.6428571428571429,0.3571428571428571,0.0,0.0
pro30,0,p4,birdstrikes,birdstrikesbde,open,0.5338983050847458,0.4067796610169492,0.059322033898305,0.0
pro30,1,p4,birdstrikes,birdstrikesbde,open,0.6967213114754098,0.2786885245901639,0.0245901639344262,0.0
pro31,0,p1,movies,moviesadf,focused,0.7058823529411765,0.2941176470588235,0.0,0.0
pro31,1,p1,movies,moviesadf,focused,0.6923076923076923,0.3076923076923077,0.0,0.0
pro31,0,p2,movies,moviesadf,focused,0.5,0.5,0.0,0.0
pro31,1,p2,movies,moviesadf,focused,0.5,0.5,0.0,0.0
pro31,0,p3,movies,moviesadf,open,0.7777777777777778,0.2222222222222222,0.0,0.0
pro31,1,p3,movies,moviesadf,open,0.7719298245614035,0.1052631578947368,0.1228070175438596,0.0
pro31,0,p4,movies,moviesadf,open,0.5942028985507246,0.3623188405797101,0.0434782608695652,0.0
pro31,1,p4,movies,moviesadf,open,0.4807692307692308,0.4423076923076923,0.0769230769230769,0.0
pro32,0,p1,birdstrikes,birdstrikesbdf,focused,0.6666666666666666,0.3333333333333333,0.0,0.0
pro32,1,p1,birdstrikes,birdstrikesbdf,focused,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.0
pro32,0,p2,birdstrikes,birdstrikesbdf,focused,0.6222222222222222,0.2444444444444444,0.1333333333333333,0.0
pro32,1,p2,birdstrikes,birdstrikesbdf,focused,0.7058823529411765,0.1372549019607843,0.1568627450980392,0.0
pro32,0,p3,birdstrikes,birdstrikesbdf,open,0.6739130434782609,0.2608695652173913,0.0652173913043478,0.0
pro32,1,p3,birdstrikes,birdstrikesbdf,open,0.6153846153846154,0.1479289940828402,0.2366863905325443,0.0
pro32,0,p4,birdstrikes,birdstrikesbdf,open,0.5076923076923077,0.4307692307692308,0.0538461538461538,0.0076923076923076
pro32,1,p4,birdstrikes,birdstrikesbdf,open,0.564625850340136,0.3877551020408163,0.0476190476190476,0.0
pro4,0,p1,birdstrikes,birdstrikesbce,focused,0.5555555555555556,0.4444444444444444,0.0,0.0
pro4,1,p1,birdstrikes,birdstrikesbce,focused,1.0,0.0,0.0,0.0
pro4,0,p2,birdstrikes,birdstrikesbce,focused,0.5757575757575758,0.4242424242424242,0.0,0.0
pro4,1,p2,birdstrikes,birdstrikesbce,focused,0.875,0.125,0.0,0.0
pro4,0,p3,birdstrikes,birdstrikesbce,open,0.8106060606060606,0.1893939393939394,0.0,0.0
pro4,1,p3,birdstrikes,birdstrikesbce,open,0.5660377358490566,0.3962264150943396,0.0377358490566037,0.0
pro4,0,p4,birdstrikes,birdstrikesbce,open,0.8611111111111112,0.1111111111111111,0.0277777777777777,0.0
pro4,1,p4,birdstrikes,birdstrikesbce,open,0.8636363636363636,0.1136363636363636,0.0227272727272727,0.0
pro5,0,p1,movies,moviesadf,focused,0.5238095238095238,0.4523809523809524,0.0238095238095238,0.0
pro5,1,p1,movies,moviesadf,focused,0.782608695652174,0.0869565217391304,0.1304347826086956,0.0
pro5,0,p2,movies,moviesadf,focused,0.925925925925926,0.074074074074074,0.0,0.0
pro5,1,p2,movies,moviesadf,focused,0.7419354838709677,0.2580645161290322,0.0,0.0
pro5,0,p3,movies,moviesadf,open,0.5,0.5,0.0,0.0
pro5,1,p3,movies,moviesadf,open,0.53125,0.46875,0.0,0.0
pro5,0,p4,movies,moviesadf,open,0.64,0.36,0.0,0.0
pro5,1,p4,movies,moviesadf,open,0.6904761904761905,0.3095238095238095,0.0,0.0
pro6,0,p1,birdstrikes,birdstrikesbde,focused,0.875,0.125,0.0,0.0
pro6,1,p1,birdstrikes,birdstrikesbde,focused,0.8571428571428571,0.1428571428571428,0.0,0.0
pro6,0,p2,birdstrikes,birdstrikesbde,focused,0.6153846153846154,0.3846153846153846,0.0,0.0
pro6,1,p2,birdstrikes,birdstrikesbde,focused,1.0,0.0,0.0,0.0
pro6,0,p3,birdstrikes,birdstrikesbde,open,0.5714285714285714,0.4285714285714285,0.0,0.0
pro6,1,p3,birdstrikes,birdstrikesbde,open,0.6666666666666666,0.3333333333333333,0.0,0.0
