u,Trial,Dataset,Experiment,probabsame,probabmodify1,probabmodify2,probabmodify3
stu21,0,movies,moviescombined,0.5137614678899083,0.41743119266055045,0.05963302752293578,0.009174311926605505
stu21,1,movies,moviescombined,0.647887323943662,0.2746478873239437,0.07746478873239436,0.0
stu24,0,movies,moviescombined,0.4519230769230769,0.4855769230769231,0.0625,0.0
stu24,1,movies,moviescombined,0.48863636363636365,0.4318181818181818,0.07954545454545454,0.0
stu25,0,movies,moviescombined,0.7469879518072289,0.16265060240963855,0.09036144578313253,0.0
stu25,1,movies,moviescombined,0.3884297520661157,0.33884297520661155,0.256198347107438,0.01652892561983471
stu26,0,movies,moviescombined,0.6952789699570815,0.2918454935622318,0.012875536480686695,0.0
stu26,1,movies,moviescombined,0.6270270270270271,0.34594594594594597,0.02702702702702703,0.0
stu29,0,movies,moviescombined,0.6299212598425197,0.18110236220472442,0.16535433070866143,0.023622047244094488
stu29,1,movies,moviescombined,0.4790874524714829,0.23193916349809887,0.24714828897338403,0.04182509505703422
stu30,0,movies,moviescombined,0.5098039215686274,0.2549019607843137,0.19607843137254902,0.0392156862745098
stu30,1,movies,moviescombined,0.43333333333333335,0.2523809523809524,0.29523809523809524,0.01904761904761905
stu31,0,movies,moviescombined,0.484304932735426,0.30493273542600896,0.20179372197309417,0.008968609865470852
stu31,1,movies,moviescombined,0.5655430711610487,0.4344569288389513,0.0,0.0
stu36,0,movies,moviescombined,0.4734042553191489,0.3882978723404255,0.1276595744680851,0.010638297872340425
stu36,1,movies,moviescombined,0.5743243243243243,0.27702702702702703,0.14864864864864866,0.0
stu37,0,movies,moviescombined,0.5451505016722408,0.3411371237458194,0.11036789297658862,0.0033444816053511705
stu37,1,movies,moviescombined,0.33505154639175255,0.4896907216494845,0.15463917525773196,0.020618556701030927
stu38,0,movies,moviescombined,0.527027027027027,0.21621621621621623,0.21171171171171171,0.04504504504504504
stu38,1,movies,moviescombined,0.5971563981042654,0.15639810426540285,0.22274881516587677,0.023696682464454975
stu39,0,movies,moviescombined,0.4936708860759494,0.3459915611814346,0.14345991561181434,0.016877637130801686
stu39,1,movies,moviescombined,0.5525291828793775,0.2490272373540856,0.16731517509727625,0.0311284046692607
stu3,0,movies,moviescombined,0.7619047619047619,0.23809523809523808,0.0,0.0
stu3,1,movies,moviescombined,0.6929260450160771,0.11254019292604502,0.1639871382636656,0.03054662379421222
stu4,0,movies,moviescombined,0.6902173913043478,0.1793478260869565,0.11413043478260869,0.016304347826086956
stu4,1,movies,moviescombined,0.5773195876288659,0.2268041237113402,0.1958762886597938,0.0
stu6,0,movies,moviescombined,0.5970695970695971,0.12087912087912088,0.25274725274725274,0.029304029304029304
stu6,1,movies,moviescombined,0.6122448979591837,0.19591836734693877,0.17142857142857143,0.02040816326530612
stu7,0,movies,moviescombined,0.4738562091503268,0.35947712418300654,0.1568627450980392,0.00980392156862745
stu7,1,movies,moviescombined,0.4171779141104294,0.3619631901840491,0.2147239263803681,0.006134969325153374
