u,Trial,Task,Experiment,Openendedness,probabsame,minutessame,probabmodify1,minutesmodify1,probabmodify2,minutesmodify2,probabmodify3,minutesmodify3
pro22,1,p1,moviesade,focused,0.9333333333333333,0,0.0,0,0.0,0,0.06666666666666667,0
pro22,1,p1,moviesade,focused,0.9333333333333333,0,0.0,0,0.0,0,0.06666666666666667,0
pro22,1,p1,moviesade,focused,0.9333333333333333,0,0.0,0,0.0,0,0.06666666666666667,0
pro22,1,p1,moviesade,focused,0.9333333333333333,0,0.0,0,0.0,0,0.06666666666666667,0
pro23,0,p1,moviesacf,focused,0.7096774193548387,0,0.0967741935483871,0,0.12903225806451613,0,0.06451612903225806,0
pro23,0,p1,moviesacf,focused,0.7096774193548387,0,0.0967741935483871,0,0.12903225806451613,0,0.06451612903225806,0
pro23,0,p1,moviesacf,focused,0.7096774193548387,0,0.0967741935483871,0,0.12903225806451613,0,0.06451612903225806,0
pro23,0,p1,moviesacf,focused,0.7096774193548387,0,0.0967741935483871,0,0.12903225806451613,0,0.06451612903225806,0
pro23,1,p1,moviesacf,focused,0.7368421052631579,0,0.05263157894736842,0,0.10526315789473684,0,0.10526315789473684,0
pro23,1,p1,moviesacf,focused,0.7368421052631579,0,0.05263157894736842,0,0.10526315789473684,0,0.10526315789473684,0
pro23,1,p1,moviesacf,focused,0.7368421052631579,0,0.05263157894736842,0,0.10526315789473684,0,0.10526315789473684,0
pro23,1,p1,moviesacf,focused,0.7368421052631579,0,0.05263157894736842,0,0.10526315789473684,0,0.10526315789473684,0
pro24,0,p1,moviesadf,focused,0.5,0,0.08333333333333333,0,0.25,0,0.16666666666666666,0
pro24,0,p1,moviesadf,focused,0.5,0,0.08333333333333333,0,0.25,0,0.16666666666666666,0
pro24,0,p1,moviesadf,focused,0.5,0,0.08333333333333333,0,0.25,0,0.16666666666666666,0
pro24,0,p1,moviesadf,focused,0.5,0,0.08333333333333333,0,0.25,0,0.16666666666666666,0
pro24,1,p1,moviesadf,focused,0.6,0,0.06666666666666667,0,0.26666666666666666,0,0.06666666666666667,0
pro24,1,p1,moviesadf,focused,0.6,0,0.06666666666666667,0,0.26666666666666666,0,0.06666666666666667,0
pro24,1,p1,moviesadf,focused,0.6,0,0.06666666666666667,0,0.26666666666666666,0,0.06666666666666667,0
pro24,1,p1,moviesadf,focused,0.6,0,0.06666666666666667,0,0.26666666666666666,0,0.06666666666666667,0
pro25,0,p1,moviesacf,focused,0.4,0,0.6,0,0.0,0,0.0,0
pro25,0,p1,moviesacf,focused,0.4,0,0.6,0,0.0,0,0.0,0
pro25,0,p1,moviesacf,focused,0.4,0,0.6,0,0.0,0,0.0,0
pro25,0,p1,moviesacf,focused,0.4,0,0.6,0,0.0,0,0.0,0
pro25,1,p1,moviesacf,focused,1.0,0,0.0,0,0.0,0,0.0,0
pro25,1,p1,moviesacf,focused,1.0,0,0.0,0,0.0,0,0.0,0
pro25,1,p1,moviesacf,focused,1.0,0,0.0,0,0.0,0,0.0,0
pro25,1,p1,moviesacf,focused,1.0,0,0.0,0,0.0,0,0.0,0
pro29,0,p1,moviesace,focused,0.532258064516129,0,0.1935483870967742,0,0.1774193548387097,0,0.0967741935483871,0
pro29,0,p1,moviesace,focused,0.532258064516129,0,0.1935483870967742,0,0.1774193548387097,0,0.0967741935483871,0
pro29,0,p1,moviesace,focused,0.532258064516129,0,0.1935483870967742,0,0.1774193548387097,0,0.0967741935483871,0
pro29,0,p1,moviesace,focused,0.532258064516129,0,0.1935483870967742,0,0.1774193548387097,0,0.0967741935483871,0
pro29,1,p1,moviesace,focused,0.8214285714285714,0,0.14285714285714285,0,0.0,0,0.03571428571428571,0
pro29,1,p1,moviesace,focused,0.8214285714285714,0,0.14285714285714285,0,0.0,0,0.03571428571428571,0
pro29,1,p1,moviesace,focused,0.8214285714285714,0,0.14285714285714285,0,0.0,0,0.03571428571428571,0
pro29,1,p1,moviesace,focused,0.8214285714285714,0,0.14285714285714285,0,0.0,0,0.03571428571428571,0
pro31,0,p1,moviesadf,focused,0.7058823529411765,0,0.11764705882352941,0,0.14705882352941177,0,0.029411764705882353,0
pro31,0,p1,moviesadf,focused,0.7058823529411765,0,0.11764705882352941,0,0.14705882352941177,0,0.029411764705882353,0
pro31,0,p1,moviesadf,focused,0.7058823529411765,0,0.11764705882352941,0,0.14705882352941177,0,0.029411764705882353,0
pro31,0,p1,moviesadf,focused,0.7058823529411765,0,0.11764705882352941,0,0.14705882352941177,0,0.029411764705882353,0
pro31,1,p1,moviesadf,focused,0.6923076923076923,0,0.0,0,0.0,0,0.3076923076923077,0
pro31,1,p1,moviesadf,focused,0.6923076923076923,0,0.0,0,0.0,0,0.3076923076923077,0
pro31,1,p1,moviesadf,focused,0.6923076923076923,0,0.0,0,0.0,0,0.3076923076923077,0
pro31,1,p1,moviesadf,focused,0.6923076923076923,0,0.0,0,0.0,0,0.3076923076923077,0
pro3,0,p1,moviesace,focused,0.5,0,0.0625,0,0.0625,0,0.375,0
pro3,0,p1,moviesace,focused,0.5,0,0.0625,0,0.0625,0,0.375,0
pro3,0,p1,moviesace,focused,0.5,0,0.0625,0,0.0625,0,0.375,0
pro3,0,p1,moviesace,focused,0.5,0,0.0625,0,0.0625,0,0.375,0
pro3,1,p1,moviesace,focused,0.5833333333333334,0,0.16666666666666666,0,0.16666666666666666,0,0.08333333333333333,0
pro3,1,p1,moviesace,focused,0.5833333333333334,0,0.16666666666666666,0,0.16666666666666666,0,0.08333333333333333,0
pro3,1,p1,moviesace,focused,0.5833333333333334,0,0.16666666666666666,0,0.16666666666666666,0,0.08333333333333333,0
pro3,1,p1,moviesace,focused,0.5833333333333334,0,0.16666666666666666,0,0.16666666666666666,0,0.08333333333333333,0
pro5,0,p1,moviesadf,focused,0.5238095238095238,0,0.4523809523809524,0,0.0,0,0.023809523809523808,0
pro5,0,p1,moviesadf,focused,0.5238095238095238,0,0.4523809523809524,0,0.0,0,0.023809523809523808,0
pro5,0,p1,moviesadf,focused,0.5238095238095238,0,0.4523809523809524,0,0.0,0,0.023809523809523808,0
pro5,0,p1,moviesadf,focused,0.5238095238095238,0,0.4523809523809524,0,0.0,0,0.023809523809523808,0
pro5,1,p1,moviesadf,focused,0.782608695652174,0,0.043478260869565216,0,0.17391304347826086,0,0.0,0
pro5,1,p1,moviesadf,focused,0.782608695652174,0,0.043478260869565216,0,0.17391304347826086,0,0.0,0
pro5,1,p1,moviesadf,focused,0.782608695652174,0,0.043478260869565216,0,0.17391304347826086,0,0.0,0
pro5,1,p1,moviesadf,focused,0.782608695652174,0,0.043478260869565216,0,0.17391304347826086,0,0.0,0
pro8,0,p1,moviesacf,focused,0.54,0,0.06,0,0.16,0,0.24,0
pro8,0,p1,moviesacf,focused,0.54,0,0.06,0,0.16,0,0.24,0
pro8,0,p1,moviesacf,focused,0.54,0,0.06,0,0.16,0,0.24,0
pro8,0,p1,moviesacf,focused,0.54,0,0.06,0,0.16,0,0.24,0
pro8,1,p1,moviesacf,focused,0.5576923076923077,0,0.1346153846153846,0,0.11538461538461539,0,0.19230769230769232,0
pro8,1,p1,moviesacf,focused,0.5576923076923077,0,0.1346153846153846,0,0.11538461538461539,0,0.19230769230769232,0
pro8,1,p1,moviesacf,focused,0.5576923076923077,0,0.1346153846153846,0,0.11538461538461539,0,0.19230769230769232,0
pro8,1,p1,moviesacf,focused,0.5576923076923077,0,0.1346153846153846,0,0.11538461538461539,0,0.19230769230769232,0
pro9,0,p1,moviesacf,focused,0.5263157894736842,0,0.3157894736842105,0,0.10526315789473684,0,0.05263157894736842,0
pro9,0,p1,moviesacf,focused,0.5263157894736842,0,0.3157894736842105,0,0.10526315789473684,0,0.05263157894736842,0
pro9,0,p1,moviesacf,focused,0.5263157894736842,0,0.3157894736842105,0,0.10526315789473684,0,0.05263157894736842,0
pro9,0,p1,moviesacf,focused,0.5263157894736842,0,0.3157894736842105,0,0.10526315789473684,0,0.05263157894736842,0
pro9,1,p1,moviesacf,focused,0.7142857142857143,0,0.0,0,0.21428571428571427,0,0.07142857142857142,0
pro9,1,p1,moviesacf,focused,0.7142857142857143,0,0.0,0,0.21428571428571427,0,0.07142857142857142,0
pro9,1,p1,moviesacf,focused,0.7142857142857143,0,0.0,0,0.21428571428571427,0,0.07142857142857142,0
pro9,1,p1,moviesacf,focused,0.7142857142857143,0,0.0,0,0.21428571428571427,0,0.07142857142857142,0
stu10,0,p1,moviesacf,focused,0.7857142857142857,0,0.10714285714285714,0,0.03571428571428571,0,0.07142857142857142,0
