Algorithm,User,Epsilon,Threshold,LearningRate,Discount,Accuracy,StateAccuracy
SARSA,U_18,0.1,0.2,0.1,0.2,0.2571428571428571,"[0.2857142857142857, 0.6, 0.05555555555555555]"
SARSA,U_18,0.01,0.3,0.1,0.1,0.1935483870967742,"[0.14285714285714285, 0.6666666666666666, 0.05555555555555555]"
SARSA,U_18,0.01,0.4,0.1,0.1,0.6538461538461539,"[0.14285714285714285, 0.6666666666666666, 0.9230769230769231]"
SARSA,U_18,0.05,0.5,0.5,0.5,0.6363636363636364,"[0.5714285714285714, 0.3333333333333333, 0.8888888888888888]"
SARSA,U_18,0.05,0.6,0.1,0.05,0.5,"[0.14285714285714285, 0.6666666666666666, 0.8]"
SARSA,U_18,0.1,0.7,0.001,0.2,0.46153846153846156,"[0.2857142857142857, 0.5, 1.0]"
SARSA,U_18,0.1,0.8,0.0001,0.9,0.6666666666666666,"[0.5, 0.6666666666666666, 1.0]"
SARSA,U_18,0.1,0.9,0.1,0.05,0.8,"[0, 0.6666666666666666, 1.0]"
SARSA,U_19,0.1,0.05,0.0001,0.1,0.6511627906976745,"[0.6511627906976745, 0.6666666666666666, 0.625]"
SARSA,U_19,0.1,0.1,0.0001,0.5,0.5333333333333333,"[0.7222222222222222, 0.6153846153846154, 0.1875]"
SARSA,U_19,0.01,0.2,0.5,0.1,0.5471698113207547,"[0.6363636363636364, 0.7307692307692307, 0.1875]"
SARSA,U_19,0.1,0.3,0.0001,0.5,0.48936170212765956,"[0.6666666666666666, 0.6521739130434783, 0.13333333333333333]"
SARSA,U_19,0.1,0.4,0.0001,0.2,0.5,"[0.75, 0.6470588235294118, 0.2]"
SARSA,U_19,0.1,0.5,0.1,0.1,0.5151515151515151,"[0.8333333333333334, 0.7692307692307693, 0.14285714285714285]"
SARSA,U_19,0.01,0.6,0.1,0.1,0.37037037037037035,"[0.6666666666666666, 0.7, 0.07142857142857142]"
SARSA,U_19,0.1,0.7,0.1,0.5,0.25,"[0.6666666666666666, 0.5, 0.07692307692307693]"
SARSA,U_19,0.01,0.8,0.1,0.05,0.0,"[0, 0.0, 0.0]"
SARSA,U_19,0.05,0.9,0.1,0.1,1.0,"[0, 0, 1.0]"
SARSA,U_2,0.1,0.05,0.5,0.05,0.6270491803278688,"[0.575, 0.6818181818181818, 0.35714285714285715]"
SARSA,U_2,0.05,0.1,0.5,0.1,0.6548672566371682,"[0.3684210526315789, 0.7590361445783133, 0.36363636363636365]"
SARSA,U_2,0.1,0.2,0.5,0.05,0.71,"[0.5714285714285714, 0.76, 0.5454545454545454]"
SARSA,U_2,0.1,0.3,0.01,0.1,0.6931818181818182,"[0.5384615384615384, 0.7692307692307693, 0.4]"
SARSA,U_2,0.01,0.4,0.5,0.05,0.7333333333333333,"[0.5, 0.7962962962962963, 0.6666666666666666]"
SARSA,U_2,0.05,0.5,0.5,0.05,0.6031746031746031,"[0.36363636363636365, 0.717391304347826, 0.16666666666666666]"
SARSA,U_2,0.1,0.6,0.5,0.1,0.6,"[0.375, 0.6666666666666666, 0.5]"
SARSA,U_2,0.1,0.7,0.01,0.5,0.6842105263157895,"[0.5714285714285714, 0.6923076923076923, 0.8]"
SARSA,U_2,0.1,0.8,0.01,0.2,0.64,"[0.3333333333333333, 0.6666666666666666, 0.75]"
SARSA,U_2,0.05,0.9,0.01,0.5,0.7692307692307693,"[0.5, 0.8, 1.0]"
SARSA,U_20,0.01,0.05,0.1,0.1,0.4566929133858268,"[0.5875, 0.6764705882352942, 0.2169811320754717]"
SARSA,U_20,0.1,0.1,0.0001,0.8,0.7521367521367521,"[0.717948717948718, 0.6206896551724138, 0.8571428571428571]"
SARSA,U_20,0.1,0.2,0.1,0.05,0.7980769230769231,"[0.8055555555555556, 0.5714285714285714, 0.8936170212765957]"
SARSA,U_20,0.1,0.3,0.1,0.1,0.8021978021978022,"[0.8148148148148148, 0.5789473684210527, 0.8888888888888888]"
SARSA,U_20,0.1,0.4,0.1,0.05,0.7564102564102564,"[0.6428571428571429, 0.5263157894736842, 0.8888888888888888]"
SARSA,U_20,0.05,0.5,0.1,0.1,0.7230769230769231,"[0.5714285714285714, 0.5625, 0.8095238095238095]"
SARSA,U_20,0.01,0.6,0.1,0.05,0.8269230769230769,"[0.6, 0.6666666666666666, 0.9142857142857143]"
SARSA,U_20,0.01,0.7,0.5,0.1,0.8461538461538461,"[0.5, 0.42857142857142855, 0.9666666666666667]"
SARSA,U_20,0.01,0.8,0.1,0.1,0.8461538461538461,"[0.5, 0.7142857142857143, 0.9411764705882353]"
SARSA,U_20,0.01,0.9,0.5,0.1,0.6923076923076923,"[0.5, 0.7142857142857143, 0.75]"
