id,attribute1
372,"[10, 10, 13]"
373,"[2, 13, 14]"
374,"[5, 9, 13]"
375,"[2, 5, 10]"
376,"[4, 13, 16]"
377,"[7, 9, 15]"
378,"[4, 5, 12]"
379,"[11, 11, 11]"
380,"[1, 12, 15]"
381,"[3, 4, 4]"
382,"[0, 0, 1]"
383,"[1, 4, 11]"
384,"[0, 8, 14]"
385,"[3, 4, 13]"
386,"[0, 0, 10]"
387,"[7, 10, 16]"
388,"[4, 9, 9]"
389,"[6, 8, 12]"
390,"[8, 8, 14]"
391,"[1, 15, 16]"
392,"[1, 7, 12]"
393,"[0, 11, 15]"
394,"[3, 7, 14]"
395,"[0, 3, 11]"
396,"[5, 5, 11]"
397,"[2, 4, 4]"
398,"[1, 8, 13]"
399,"[2, 4, 13]"
400,"[3, 8, 15]"
401,"[0, 4, 12]"
402,"[3, 11, 11]"
403,"[0, 7, 8]"
404,"[10, 13, 13]"
405,"[2, 5, 5]"
406,"[7, 9, 10]"
407,"[4, 5, 7]"
408,"[9, 9, 12]"
409,"[2, 5, 14]"
410,"[1, 4, 6]"
411,"[4, 5, 16]"
412,"[4, 16, 16]"
413,"[3, 4, 8]"
414,"[11, 11, 15]"
415,"[0, 0, 5]"
416,"[1, 3, 10]"
417,"[6, 11, 13]"
418,"[8, 11, 15]"
419,"[0, 14, 16]"
420,"[4, 8, 8]"
421,"[8, 8, 9]"
422,"[2, 8, 15]"
423,"[6, 8, 16]"
424,"[13, 13, 16]"
425,"[1, 7, 7]"
426,"[2, 11, 11]"
427,"[3, 7, 9]"
428,"[0, 3, 6]"
429,"[1, 7, 16]"
430,"[0, 3, 15]"
431,"[5, 5, 6]"
432,"[9, 13, 14]"
433,"[5, 5, 15]"
434,"[1, 8, 8]"
435,"[2, 12, 12]"
436,"[6, 12, 13]"
437,"[2, 4, 8]"
438,"[3, 8, 10]"
439,"[0, 4, 7]"
440,"[4, 12, 14]"
441,"[8, 12, 15]"
442,"[1, 11, 13]"
443,"[3, 11, 15]"
444,"[0, 7, 12]"
445,"[6, 15, 15]"
446,"[10, 10, 12]"
447,"[11, 14, 16]"
448,"[1, 14, 15]"
449,"[5, 9, 12]"
450,"[2, 5, 9]"
451,"[7, 9, 14]"
452,"[4, 5, 11]"
453,"[9, 9, 16]"
454,"[5, 8, 16]"
455,"[1, 3, 5]"
456,"[4, 4, 15]"
457,"[3, 3, 7]"
458,"[1, 3, 14]"
459,"[3, 3, 16]"
460,"[0, 10, 13]"
461,"[0, 2, 9]"
462,"[12, 13, 15]"
463,"[5, 12, 13]"
464,"[2, 8, 10]"
465,"[6, 8, 11]"
466,"[7, 12, 15]"
467,"[4, 8, 12]"
468,"[8, 8, 13]"
469,"[1, 15, 15]"
470,"[1, 7, 11]"
471,"[2, 11, 15]"
472,"[0, 11, 14]"
473,"[3, 7, 13]"
474,"[13, 16, 16]"
475,"[0, 3, 10]"
476,"[5, 5, 10]"
477,"[7, 13, 16]"
478,"[2, 12, 16]"
479,"[2, 4, 12]"
480,"[0, 7, 7]"
481,"[6, 7, 15]"
482,"[0, 6, 11]"
483,"[1, 6, 6]"
484,"[7, 9, 9]"
485,"[1, 6, 15]"
486,"[9, 9, 11]"
487,"[5, 8, 11]"
488,"[10, 12, 16]"
489,"[7, 8, 13]"
490,"[4, 4, 10]"
491,"[5, 11, 16]"
492,"[1, 3, 9]"
493,"[2, 7, 13]"
494,"[3, 3, 11]"
495,"[4, 7, 15]"
496,"[6, 11, 12]"
497,"[8, 11, 14]"
498,"[0, 2, 4]"
499,"[0, 2, 13]"
