user,interaction_session
pro31_adf_p4,"[120, 120, 120, 932, 688, 688, 688, 688, 688, 688, 688, 688, 688, 688, 688, 654, 733, 733, 738, 229, 229, 229, 651, 651, 238, 238, 626, 626, 88, 88, 586, 586, 779, 654, 733, 733, 733, 688, 688, 688, 229, 229, 229, 238, 238, 267, 654, 654, 654, 654, 654, 654, 654, 654, 654, 779, 586, 766, 208, 192, 192, 208, 208, 208, 208, 208, 192, 766, 766, 258, 782, 192, 192, 796, 796, 892, 233, 233, 952, 952, 829, 14, 14, 829, 829, 829, 829, 829, 829, 718, 183, 640, 523, 523, 523, 523, 789, 318, 94, 39, 39, 39, 39, 39, 39, 39, 191, 277, 742, 628, 628, 47, 955, 343, 343, 658, 933, 933, 933, 220, 220, 220]"
stu13_acf_p4,"[933, 208, 952, 952, 952, 952, 952, 952, 829, 952, 952, 952, 208, 208, 208, 614, 208, 208, 208, 304, 304, 304, 304, 304, 304, 304, 304, 854, 304, 854, 854, 854, 412, 854, 854, 854, 854, 854, 854, 854, 854, 854, 854, 854, 732, 732, 732, 732, 732, 732, 949, 726, 837, 837, 837, 837, 474, 474, 949, 949, 949, 949, 949, 949, 949, 474, 949, 949, 949, 949, 949, 268, 268, 690, 268, 268, 268, 690, 813, 813, 813, 813, 813, 813, 813, 813, 813, 813, 813, 813, 813]"
pro29_ace_p4,"[120, 120, 735, 120, 120, 412, 829, 829, 829, 437, 437, 437, 437, 437, 437, 437, 437, 437, 505, 829, 829, 829, 829, 39, 39, 39, 505, 505, 505, 505, 505, 437, 437, 829, 829, 505, 467, 544, 544, 544, 544, 544, 467, 467, 467, 937, 937, 937, 937, 937, 937, 937, 937, 937, 937, 937, 937, 937, 937, 937, 505, 329, 505, 329, 411, 329, 329, 329, 411, 329, 329, 411, 411, 411, 329, 329, 411, 411, 329, 329, 329, 329, 411, 800, 800, 407, 800, 800, 800, 800, 800, 292, 292, 292, 292, 292, 411, 411, 800, 292, 292, 292, 292, 292, 800, 292, 800, 292, 407, 407, 407, 407, 407, 407, 407, 407, 407, 407, 407, 407, 407, 407, 800, 407, 407, 407, 407, 407, 799, 799, 799, 14, 799, 799, 799, 407, 110, 110, 110, 110, 110, 110, 54, 292, 292, 800, 800, 292, 376, 376, 376, 266, 266, 266, 376]"
stu38_acf_p4,"[120, 332, 360, 332, 465, 465, 389, 389, 389, 814, 120, 115, 870, 870, 870, 870, 870, 870, 15, 933, 590, 933, 360, 120, 735, 735, 115, 115, 115, 115, 115, 103, 360, 870, 870, 870, 870, 870, 870, 115, 115, 115, 474, 818, 818, 818, 818, 818, 818, 818, 818, 727, 727, 727, 727, 727, 727, 818, 230, 230, 230, 230, 767, 767, 767, 777, 777, 18, 18, 18, 117, 117, 252, 252, 252, 252, 252, 777, 252, 252, 306, 306, 914, 306, 591, 228, 364, 364, 364, 114, 114, 114, 114]"
stu7_ade_p4,"[15, 15, 15, 120, 120, 251, 129, 251, 725, 725, 660, 184, 547, 184, 184, 184, 184, 742, 547, 547, 742, 742, 409, 409, 409, 409, 560, 409, 742, 742, 547, 547, 184, 547, 409, 409, 742, 560, 742, 742, 742, 409, 560, 560, 560, 560, 560, 742, 547, 16, 184, 16, 16, 16, 829, 952, 952, 952, 952, 952, 710, 208, 208, 829, 208, 208, 208, 208, 208, 249, 249, 841, 841, 841, 533, 533, 673, 286, 952, 766, 766, 766, 533, 249, 249, 208, 249, 249, 249, 208, 593, 208, 249, 208, 208, 208, 249, 249, 249, 249, 593, 867, 867, 593, 85, 85, 593, 593, 593, 85, 85, 867, 867, 829, 867, 593, 452, 491, 452, 452, 593, 411, 491, 491, 836, 836, 836, 836, 671, 671, 671, 671]"
stu31_ade_p4,"[120, 115, 115, 115, 115, 115, 115, 115, 115, 115, 115, 115, 115, 115, 893, 115, 115, 115, 115, 870, 870, 870, 870, 870, 870, 870, 870, 870, 870, 870, 870, 870, 870, 39, 39, 39, 39, 39, 870, 827, 827, 827, 827, 827, 870, 505, 505, 505, 505, 505, 505, 870, 454, 454, 454, 454, 454, 454, 454, 454, 454, 454, 454, 454, 870, 423, 423, 423, 423, 423, 423, 423, 423, 423, 423, 423, 423, 423, 423, 423, 423, 423, 423, 423, 332, 423, 423, 423, 423, 332, 332, 332, 332, 332, 332, 194, 194, 194, 194, 194, 194, 194, 194, 332, 332, 625, 744, 744, 744, 744, 744, 778, 778, 332, 332, 332, 744, 332, 98, 98, 98, 98, 98, 98, 98, 514, 387, 514, 514, 514, 228, 318, 318, 318, 318, 318, 318, 870, 454, 454, 454, 454, 360, 797, 797, 797, 797, 797, 797, 797, 360, 360, 360, 360, 360, 925, 925, 925, 925, 925, 925, 926, 228, 514, 794, 514, 158, 514, 179, 514, 158, 158, 158, 154, 158, 158, 158, 158, 158, 514, 474, 698, 474, 124, 474, 590, 955, 590, 474, 698, 698, 698]"
pro13_ace_p4,"[120, 735, 120, 120, 474, 837, 837, 837, 837, 837, 837, 474, 474, 474, 474, 266, 266, 266, 266, 591, 591, 266, 266, 474, 735, 633, 88, 88, 88, 88, 88, 633, 633, 633, 126, 633, 926, 15, 690, 690, 690, 690, 690, 690, 690, 15, 854, 854, 854, 854, 854, 854, 854, 854, 854, 854, 892, 892, 892, 892, 892, 892, 892, 892, 892, 892, 892, 892, 892, 892, 892, 593, 593, 143, 491, 491, 491, 148, 491, 491, 491, 491, 491, 491, 360, 925, 925, 925, 925]"
stu15_ade_p4,"[120, 332, 277, 820, 820, 239, 239, 874, 820, 277, 277, 277, 239, 621, 701, 701, 701, 701, 701, 205, 205, 701, 701, 621, 820, 874, 277, 239, 820, 820, 820, 277, 332, 474, 698, 251, 955, 835, 835, 743, 47, 57, 590, 474, 124, 863, 761, 761, 761, 621, 474, 239, 239, 417, 417, 417, 417, 417, 239, 474, 698, 698, 563, 563, 563, 563, 948, 839, 839, 839, 642, 376, 642, 839, 839, 642, 376, 376, 376, 376, 642, 412, 829, 209, 829, 829, 339, 339, 339, 633, 829, 829, 339, 339, 339, 633, 513, 633, 874, 874, 634, 634, 959, 735, 60, 735, 634, 735, 633, 926, 926, 874, 926, 184, 926, 874, 474, 634, 735, 60, 60, 448, 391, 956, 956, 485, 721, 509, 735, 60, 251, 184, 251, 60, 735, 634, 513, 874, 941, 941, 941, 820, 798, 55, 373, 698, 698, 184, 184, 184, 874, 874, 184, 184, 874, 926, 115, 79, 362, 874, 874, 79, 79, 79, 478, 79, 874, 820, 277, 277, 277, 239]"
pro9_acf_p4,"[120, 120, 735, 735, 514, 514, 514, 514, 228, 926, 926, 120, 120, 120, 120, 228, 183, 183, 183, 926, 228, 965, 228, 120, 120, 228, 120, 735, 120, 251, 184, 184, 184, 184, 184, 184, 184, 184, 184, 853, 690, 149, 149, 149, 149, 149, 149, 149, 149, 149, 149, 609, 530, 530, 530, 530, 530, 39, 39, 39, 39, 39, 39, 39, 39, 926, 191, 191, 191, 735, 514, 514, 514, 15, 15, 143, 143, 474, 474, 474, 143, 474, 115, 115, 251, 151, 151, 955, 955, 955, 955, 955, 251, 642, 412, 829, 829, 829, 829, 829, 829, 16, 16, 16, 16]"
stu30_adf_p4,"[120, 120, 120, 115, 933, 220, 220, 220, 375, 375, 375, 220, 186, 775, 186, 220, 186, 186, 186, 186, 186, 186, 186, 186, 220, 375, 375, 375, 375, 375, 375, 375, 220, 220, 220, 220, 220, 220, 220, 375, 375, 375, 220, 220, 220, 375, 220, 933, 194, 194, 194, 693, 693, 693, 194, 693, 194, 693, 194, 693, 194, 194, 194, 194, 693, 693, 693, 693, 194, 192, 208, 412, 829, 829, 829, 926, 609, 609, 609, 609, 530, 530, 530, 530, 530, 530, 530, 530, 530, 530, 530, 603, 648, 603, 603, 603, 603, 603, 603, 603, 514, 609, 609, 609, 609, 609, 514, 110, 110, 110, 110, 514, 514, 609, 926, 926, 183, 926, 633, 926, 829, 926, 933, 208, 952, 952, 952, 952, 952, 952, 710, 693, 693, 693, 693, 693]"
pro21_ade_p4,"[120, 120, 735, 360, 360, 360, 491, 491, 491, 491, 266, 266, 266, 797, 266, 797, 491, 360, 925, 926, 925, 838, 838, 925, 925, 925, 126, 126, 126, 925, 925, 633, 925, 633, 633, 633, 633, 676, 713, 126, 88, 88, 88, 88, 88, 88, 88, 88, 88, 633, 633, 633, 633, 633, 633, 633, 633, 713, 713, 676, 676, 676, 676, 676, 676, 676, 871, 85, 753, 753, 753, 753, 85, 169, 169, 753, 169, 169, 169, 169, 710, 753, 753, 85, 85, 85, 85, 710, 169, 626, 871, 871, 586, 169, 169, 169, 143, 85, 867, 867, 867, 867, 85, 85, 85, 593, 593, 829, 829, 829, 829, 829, 593, 593, 593, 593, 593, 867, 867, 867, 85, 311, 85, 85, 85, 85, 311, 867, 85, 85, 941, 941, 941, 941, 101, 101, 101, 874, 874, 101, 874, 373, 373, 373, 874, 698, 698, 698, 698, 184, 108, 609, 609, 653, 920, 920, 653, 653, 653, 275, 653, 653, 609, 609, 609, 530, 530, 530, 530, 530, 530, 530, 39, 39, 39, 39, 39, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 39, 39, 85, 85, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 39, 39, 81, 81, 81, 85, 39, 39, 39, 39, 39, 39, 39, 85, 39, 39, 39, 39, 81, 81, 81, 191, 191, 191, 81, 81, 422, 422, 422, 422, 502, 502, 437, 437, 437, 437, 437, 437, 505, 505, 505, 505, 505, 505, 505, 505, 505, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 39, 81, 81, 81, 81, 81, 81, 81]"
stu11_adf_p4,"[120, 474, 668, 82, 82, 82, 82, 859, 859, 82, 474, 837, 837, 745, 745, 745, 194, 194, 693, 693, 311, 592, 592, 592, 69, 69, 693, 693, 178, 375, 375, 69, 69, 387, 387, 387, 387, 514, 143, 85, 85, 85, 85, 85, 311, 311, 85, 217, 217, 217, 217, 370, 370, 370, 127, 127, 159, 662, 662, 662, 662, 662, 662, 662, 370, 370, 370, 370, 370, 370, 662, 370, 370, 370, 370, 143, 593, 867, 867, 867, 867, 867, 867, 867, 867, 867, 867, 867, 867, 867, 867, 85, 143, 871, 676, 676, 676, 676, 676, 311, 676, 676, 676, 676, 676, 85, 311, 311, 311, 311, 311, 311, 659, 659, 290, 311, 85, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 39, 39, 39, 39, 39, 39, 39, 39, 838, 838, 838, 437, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505]"
pro18_adf_p4,"[120, 412, 360, 120, 120, 120, 120, 926, 926, 926, 514, 332, 332, 514, 332, 933, 15, 15, 15, 15, 870, 870, 870, 870, 870, 870, 870, 870, 870, 870, 870, 933, 933, 870, 870, 15, 933, 115, 15, 933, 474, 933, 360, 474, 115, 933, 474, 120, 412, 228, 735, 120, 120, 735, 514, 228, 228, 228, 228, 933, 933, 15, 514, 120, 514, 360, 474, 115, 474, 870, 115, 115, 870, 735, 735, 120]"
pro25_acf_p4,"[120, 120, 120, 120, 143, 491, 143, 593, 593, 593, 867, 829, 829, 829, 52, 52, 52, 52, 52, 52, 52, 52, 52, 690, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 690, 52, 52, 52, 52, 52, 52, 690, 690, 813, 710, 933, 208, 208, 208, 888, 208, 208, 208, 249, 169, 623, 623, 623, 623, 623, 623, 623, 623, 169, 707, 707, 707, 707, 707, 707, 707, 707, 169, 623, 623, 623, 623, 623, 169, 707, 707, 707, 707, 707, 169, 724, 724, 724, 724, 724, 657, 657, 657, 657, 657, 657, 657, 657, 657, 143, 85, 85, 85, 143, 491, 491, 491, 491, 491, 491, 491, 491, 491, 491]"
stu17_ace_p4,"[926, 690, 729, 729, 729, 729, 729, 729, 729, 729, 729, 542, 542, 542, 542, 542, 149, 149, 149, 291, 451, 451, 451, 451, 451, 291, 514, 83, 572, 478, 42, 950, 725, 478, 232, 866, 866, 866, 115, 678, 678, 678, 143, 537, 537, 496, 143, 143, 85, 85, 42]"
stu3_acf_p4,"[120, 870, 360, 360, 360, 360, 870, 870, 870, 15, 15, 15, 15, 15, 15, 933, 933, 933, 933, 933, 474, 474, 474, 933, 15, 15, 15, 15, 870, 15, 15, 933, 15, 15, 15, 15, 933, 933, 412, 694, 694, 407, 407, 192, 192, 407, 192, 407, 407, 407, 826, 826, 826, 816, 816, 816, 816, 694, 694, 694, 694, 694, 694, 694, 694, 694, 208, 208, 208, 208, 208, 208, 208, 888, 208, 208, 208, 208, 208, 208, 888, 888, 888, 888, 234, 234, 930, 930, 930, 614, 614, 614, 614, 335, 335, 412, 816, 407, 407, 407, 407, 407, 407, 192, 816, 816, 816, 816, 816, 694, 694, 171, 880, 171, 171, 171, 171, 880, 880, 505, 614, 614, 257, 614, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 103, 103, 103, 103, 103, 966, 966, 966, 614, 614, 614, 614, 257, 614, 614, 614, 614, 614, 505, 505, 505, 412, 954, 751, 751, 751, 751, 954, 954, 954, 954, 954, 614, 614, 614, 614, 614, 614, 614, 614, 614, 614, 614, 614, 214, 214, 614, 614, 614, 614, 115, 870, 663, 663, 663, 704, 704, 704, 704, 103, 663, 663, 663, 663, 663, 663, 663, 663, 663, 663, 663, 663, 663, 663, 663, 663, 663, 663, 663, 663, 663, 663, 663, 663, 103, 103, 103, 103, 704, 704, 103, 704, 704, 103, 103, 103, 103, 103, 704, 704, 888, 966, 966, 966, 966]"
stu25_ace_p4,"[120, 120, 120, 115, 79, 474, 101, 563, 563, 563, 698, 698, 698, 563, 563, 563, 563, 563, 698, 698, 698, 101, 563, 563, 447, 447, 563, 698, 540, 79, 115, 83, 83, 83, 83, 83, 610, 83, 83, 83, 83, 83, 83, 572, 478, 588, 633, 633, 588, 588, 588, 588, 633, 676, 676, 676, 676, 633, 174, 690, 174, 174, 174, 174, 174, 174, 199, 15, 202, 307, 202, 202, 202, 202, 202, 307, 202, 202, 202, 202, 202, 307, 202, 888, 166]"
pro5_adf_p4,"[735, 115, 293, 828, 828, 293, 293, 293, 293, 828, 828, 828, 293, 735, 586, 586, 586, 586, 586, 586, 586, 586, 766, 615, 852, 615, 615, 615, 615, 615, 615, 615, 615, 615, 615, 615, 615, 615, 615, 199, 615, 615, 199, 665, 665, 665, 665, 60, 369, 369, 369, 60, 87, 87, 87, 87, 87, 87, 87, 60, 665, 665, 665, 665, 199, 615, 615, 615, 615, 238, 238, 615, 615, 615, 615, 615, 615, 615, 586, 88, 88, 633, 633, 633, 88, 88, 88, 88, 174, 174, 174, 174, 174]"
pro23_acf_p4,"[120, 120, 120, 360, 360, 360, 870, 332, 514, 514, 870, 870, 332, 870, 514, 514, 332, 514, 54, 514, 54, 751, 751, 54, 54, 54, 54, 54, 54, 751, 751, 751, 751, 103, 103, 620, 514, 291, 643, 814, 291, 291, 291, 291, 291, 291, 291, 15, 667, 667, 667, 667, 667, 667, 667, 667, 667, 667, 667, 667, 667, 814, 814, 159, 159, 159, 159, 159, 159, 778, 781, 781, 781, 781, 781, 781, 781, 781, 781, 781, 781, 781, 781, 781, 781, 781, 234, 234, 234, 234, 781, 781, 781, 781, 781, 781, 781, 781]"
pro22_ade_p4,"[120, 120, 735, 120, 143, 143, 143, 143, 871, 871, 871, 871, 871, 143, 143, 143, 143, 143, 491, 491, 169, 143, 491, 491, 143, 491, 491, 491, 491, 491, 491, 491, 836, 836, 836, 836, 836, 836, 836, 262, 262, 262, 262, 262, 262, 262, 262, 262, 262, 836, 836, 836, 491, 491, 491, 491, 491, 169, 169, 169, 262, 262, 262, 262, 169, 262, 262, 491, 775, 775, 775, 871, 871, 871, 871, 871, 871, 676, 676, 676, 676, 676, 676, 676, 676, 871, 871, 871, 871, 676, 676, 676, 676, 676, 676, 676, 676, 676, 871, 871, 871, 871, 871, 676, 676, 676, 871, 143, 101, 101, 101, 101, 101, 101, 185, 185, 185, 185, 185, 185, 185, 185, 185, 185]"
stu24_ace_p4,"[590, 955, 955, 955, 835, 835, 835, 955, 251, 412, 411, 411, 411, 800, 800, 360, 893, 360, 660, 893, 893, 893, 454, 454, 454, 360, 360, 360, 360, 332, 332, 332, 866, 866, 423, 866, 423, 194, 194, 194, 143, 143, 32, 32, 32, 32, 32, 169, 32, 143, 143, 143, 85, 85, 85, 81, 81, 81, 81, 81, 81, 81, 85, 85, 676, 633, 633, 633, 126, 633, 633, 550, 550, 550, 550, 130, 130, 130, 550, 130, 926, 251, 698, 698, 698, 540, 727, 540, 540, 785, 785, 785, 785, 698, 698, 698, 698, 698, 698, 955, 251, 60, 130, 633, 633, 633, 633, 633, 126, 126, 735, 429, 514, 158, 235, 235, 955, 955, 955, 158, 158, 955, 158, 158, 104, 104, 158, 543, 216]"
stu10_acf_p4,"[120, 332, 332, 332, 277, 277, 277, 277, 277, 311, 311, 311, 311, 277, 277, 277, 277, 232, 232, 232, 866, 866, 866, 866, 866, 866, 866, 115, 478, 478, 478, 478, 478, 478, 478, 478, 478, 478, 478, 588, 588, 588, 588, 588, 588, 588, 588, 588, 588, 588, 588, 478, 115, 725, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 725, 725, 725, 725, 725, 725, 725, 725, 725, 725, 725, 540, 540, 540, 725, 115, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 115, 488, 115, 678, 678, 678, 678, 678, 678, 678, 678, 678, 678]"
pro3_ace_p4,"[228, 332, 537, 537, 537, 537, 537, 537, 465, 465, 496, 496, 234, 234, 234, 234, 465, 465, 465, 496, 496, 537, 143, 870, 39, 39, 39, 81, 81, 81, 81, 81, 81, 81, 2, 2, 2, 2, 464, 464, 542, 542, 464, 39, 39, 39, 39, 39, 39, 870, 367, 870, 870, 870, 870, 870, 603, 870, 514, 514, 251, 158, 158, 158, 158, 154, 154, 216, 104, 104, 235, 235, 104, 543, 514, 110, 333, 339, 296, 296, 296, 805, 805, 805, 805, 805, 805, 60, 805, 805, 805, 805, 339, 735, 120, 218, 218, 218, 218, 218, 218, 218, 218, 870, 218, 218, 218, 218, 218, 218, 218, 218, 218, 218, 218, 218, 218, 218, 218, 218, 218, 218, 218, 218]"
