participant_id,user,threshold,ncp-1,rank
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,1
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,1
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,1
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,176
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,177
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,72
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,75
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,30
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,72
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,84
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,175
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,84
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,176
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,80
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,77
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,52
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,41
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,35
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,77
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,29
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,32
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,18
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,17
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,173
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,172
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,178
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,94
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,86
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,75
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,61
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,80
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,62
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,158
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,215
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,99
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,16
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,100
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,84
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,55
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,51
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,222
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,187
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,104
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,87
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,64
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,188
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,59
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,51
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,188
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,110
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,190
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,189
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,120
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,190
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,189
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,42
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,204
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,204
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,122
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,86
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,181
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,224
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,204
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,136
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,83
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,86
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,195
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,80
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,34
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,73
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,179
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,179
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,178
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,178
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,177
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,177
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,169
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,162
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,184
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,188
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,180
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,178
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,178
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,123
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,78
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,58
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,41
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,19
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,18
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,16
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,16
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,98
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,72
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,91
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,47
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,38
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,105
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,8
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,15
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,15
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,32
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,15
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,15
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,195
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,17
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,18
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,18
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,1
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,32
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,45
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,15
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,69
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,53
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,1
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,192
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,85
