User,Accuracy,Threshold,LearningRate,Discount,Algorithm
pro26_bde_p3,0.3484848484848485,0.1,0,0,HMM
pro26_bde_p3,0.48717948717948717,0.2,0,0,HMM
pro26_bde_p3,0.23300970873786409,0.3,0,0,HMM
pro26_bde_p3,0.3409090909090909,0.4,0,0,HMM
pro26_bde_p3,0.36486486486486486,0.5,0,0,HMM
pro26_bde_p3,0.4406779661016949,0.6,0,0,HMM
pro26_bde_p3,0.28888888888888886,0.7,0,0,HMM
pro26_bde_p3,0.2,0.8,0,0,HMM
pro27_bcf_p3,0.3313953488372093,0.1,0,0,HMM
pro27_bcf_p3,0.06535947712418301,0.2,0,0,HMM
pro27_bcf_p3,0.07462686567164178,0.3,0,0,HMM
pro27_bcf_p3,0.17391304347826086,0.4,0,0,HMM
pro27_bcf_p3,0.3645833333333333,0.5,0,0,HMM
pro27_bcf_p3,0.24675324675324675,0.6,0,0,HMM
pro27_bcf_p3,0.3620689655172414,0.7,0,0,HMM
pro27_bcf_p3,0.3333333333333333,0.8,0,0,HMM
pro28_bce_p3,0.03783783783783784,0.1,0,0,HMM
pro28_bce_p3,0.10909090909090909,0.2,0,0,HMM
pro28_bce_p3,0.1111111111111111,0.3,0,0,HMM
pro28_bce_p3,0.12096774193548387,0.4,0,0,HMM
pro28_bce_p3,0.11650485436893204,0.5,0,0,HMM
pro28_bce_p3,0.13253012048192772,0.6,0,0,HMM
pro28_bce_p3,0.6825396825396826,0.7,0,0,HMM
pro28_bce_p3,0.6666666666666666,0.8,0,0,HMM
pro2_bce_p3,0.2248062015503876,0.1,0,0,HMM
pro2_bce_p3,0.19130434782608696,0.2,0,0,HMM
pro2_bce_p3,0.21782178217821782,0.3,0,0,HMM
pro2_bce_p3,0.2413793103448276,0.4,0,0,HMM
pro2_bce_p3,0.25,0.5,0,0,HMM
pro2_bce_p3,0.20689655172413793,0.6,0,0,HMM
pro2_bce_p3,0.29545454545454547,0.7,0,0,HMM
pro2_bce_p3,0.26666666666666666,0.8,0,0,HMM
pro30_bde_p3,0.4152542372881356,0.1,0,0,HMM
pro30_bde_p3,0.44761904761904764,0.2,0,0,HMM
pro30_bde_p3,0.44565217391304346,0.3,0,0,HMM
pro30_bde_p3,0.3670886075949367,0.4,0,0,HMM
pro30_bde_p3,0.5757575757575758,0.5,0,0,HMM
pro30_bde_p3,0.49056603773584906,0.6,0,0,HMM
