Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy
AC,U_19,0.05,0.001,0.05,1,0.4603174603174603,"[0.5238095238095238, 0.38461538461538464, 0.5]"
AC,U_19,0.1,0.001,0.8,1,0.5166666666666667,"[0.5555555555555556, 0.5384615384615384, 0.4375]"
AC,U_19,0.2,0.001,0.9,1,0.6415094339622641,"[0.5454545454545454, 0.6538461538461539, 0.6875]"
AC,U_19,0.3,0.001,0.8,1,0.6382978723404256,"[0.6666666666666666, 0.7391304347826086, 0.4666666666666667]"
AC,U_19,0.4,0.001,0.99,1,0.65,"[0.625, 0.7058823529411765, 0.6]"
AC,U_19,0.5,0.01,0.2,1,0.45454545454545453,"[0.6666666666666666, 0.7692307692307693, 0.07142857142857142]"
AC,U_19,0.6,0.1,0.99,1,0.37037037037037035,"[0.6666666666666666, 0.7, 0.07142857142857142]"
AC,U_19,0.7,0.001,0.8,1,0.45,"[0.6666666666666666, 0.5, 0.38461538461538464]"
AC,U_19,0.8,0.1,0.5,1,0.0,"[0, 0.0, 0.0]"
AC,U_19,0.9,0.001,0.05,1,1.0,"[0, 0, 1.0]"
AC,U_2,0.05,0.001,0.9,1,0.5714285714285714,"[0.3684210526315789, 0.6395348837209303, 0.42857142857142855]"
AC,U_2,0.1,0.5,0.5,1,0.7079646017699115,"[0.5263157894736842, 0.7951807228915663, 0.36363636363636365]"
AC,U_2,0.2,0.001,0.5,1,0.67,"[0.35714285714285715, 0.7733333333333333, 0.36363636363636365]"
AC,U_2,0.3,0.5,0.5,1,0.6931818181818182,"[0.46153846153846156, 0.7846153846153846, 0.4]"
AC,U_2,0.4,0.001,0.99,1,0.6933333333333334,"[0.5, 0.7962962962962963, 0.3333333333333333]"
AC,U_2,0.5,0.001,0.1,1,0.5555555555555556,"[0.18181818181818182, 0.6956521739130435, 0.16666666666666666]"
AC,U_2,0.6,0.001,0.8,1,0.62,"[0.375, 0.75, 0.16666666666666666]"
AC,U_2,0.7,0.001,0.8,1,0.6052631578947368,"[0.42857142857142855, 0.7307692307692307, 0.2]"
AC,U_2,0.8,0.01,0.1,1,0.6,"[0.3333333333333333, 0.7222222222222222, 0.25]"
AC,U_2,0.9,0.001,0.9,1,0.6923076923076923,"[0.5, 0.8, 0.0]"
AC,U_20,0.05,0.0001,0.5,1,0.3951612903225806,"[0.5128205128205128, 0.4375, 0.2830188679245283]"
AC,U_20,0.1,0.001,0.8,1,0.7264957264957265,"[0.717948717948718, 0.6206896551724138, 0.7959183673469388]"
AC,U_20,0.2,0.001,0.5,1,0.8269230769230769,"[0.8333333333333334, 0.6190476190476191, 0.9148936170212766]"
AC,U_20,0.3,0.001,0.9,1,0.8241758241758241,"[0.7777777777777778, 0.6842105263157895, 0.9111111111111111]"
AC,U_20,0.4,0.001,0.5,1,0.8076923076923077,"[0.7142857142857143, 0.631578947368421, 0.9111111111111111]"
AC,U_20,0.5,0.001,0.5,1,0.7846153846153846,"[0.5714285714285714, 0.625, 0.8809523809523809]"
AC,U_20,0.6,0.001,0.2,1,0.8461538461538461,"[0.6, 0.6666666666666666, 0.9428571428571428]"
AC,U_20,0.7,0.01,0.5,1,0.8974358974358975,"[0.5, 0.7142857142857143, 0.9666666666666667]"
AC,U_20,0.8,0.001,0.8,1,0.8076923076923077,"[0.5, 0.5714285714285714, 0.9411764705882353]"
AC,U_20,0.9,0.001,0.8,1,0.6923076923076923,"[0.5, 0.7142857142857143, 0.75]"
AC,U_3,0.05,0.0001,0.2,1,0.37209302325581395,"[0.38095238095238093, 0.4444444444444444, 0.0]"
AC,U_3,0.1,0.001,0.9,1,0.5853658536585366,"[0.5263157894736842, 0.6666666666666666, 0.5]"
AC,U_3,0.2,0.01,0.9,1,0.75,"[0.8823529411764706, 0.7333333333333333, 0.25]"
AC,U_3,0.3,0.01,0.2,1,0.75,"[0.8823529411764706, 0.75, 0.0]"
AC,U_3,0.4,0.01,0.5,1,0.7037037037037037,"[0.75, 0.7777777777777778, 0.0]"
AC,U_3,0.5,0.001,0.1,1,0.7391304347826086,"[0.8333333333333334, 0.7777777777777778, 0.0]"
AC,U_3,0.6,0.01,0.05,1,0.7777777777777778,"[0.8888888888888888, 0.7142857142857143, 0.5]"
AC,U_3,0.7,0.5,0.05,1,0.7142857142857143,"[0.8888888888888888, 0.6666666666666666, 0.0]"
AC,U_3,0.8,0.01,0.05,1,0.7777777777777778,"[0.875, 0, 0.0]"
AC,U_3,0.9,0.01,0.05,1,0.6,"[0.75, 0, 0.0]"
AC,U_4,0.05,0.0001,0.05,1,0.2857142857142857,"[0.3, 0.24390243902439024, 0.375]"
AC,U_4,0.1,0.0001,0.99,1,0.3835616438356164,"[0.5, 0.2972972972972973, 0.4375]"
AC,U_4,0.2,0.01,0.1,1,0.6153846153846154,"[0.65, 0.6176470588235294, 0.5454545454545454]"
AC,U_4,0.3,0.001,0.5,1,0.45614035087719296,"[0.5263157894736842, 0.4375, 0.3333333333333333]"
AC,U_4,0.4,0.01,0.1,1,0.6326530612244898,"[0.7058823529411765, 0.6666666666666666, 0.2]"
AC,U_4,0.5,0.01,0.8,1,0.6585365853658537,"[0.6923076923076923, 0.6956521739130435, 0.4]"
AC,U_4,0.6,0.5,0.2,1,0.696969696969697,"[0.7272727272727273, 0.7368421052631579, 0.3333333333333333]"
AC,U_4,0.7,0.001,0.8,1,0.72,"[0.6666666666666666, 0.7647058823529411, 0.5]"
AC,U_4,0.8,0.1,0.2,1,0.7058823529411765,"[0.0, 0.7857142857142857, 0.5]"
AC,U_4,0.9,0.001,0.9,1,0.6666666666666666,"[0.0, 0.7142857142857143, 1.0]"
AC,U_5,0.05,0.001,0.05,1,0.7073170731707317,"[0.6086956521739131, 0.7551020408163265, 0.7058823529411765]"
AC,U_5,0.1,0.001,0.99,1,0.6239316239316239,"[0.5217391304347826, 0.6666666666666666, 0.6304347826086957]"
AC,U_5,0.2,0.001,0.9,1,0.7596153846153846,"[0.7142857142857143, 0.717948717948718, 0.8181818181818182]"
AC,U_5,0.3,0.001,0.1,1,0.8241758241758241,"[0.8, 0.7586206896551724, 0.8809523809523809]"
AC,U_5,0.4,0.001,0.5,1,0.7564102564102564,"[0.7058823529411765, 0.7619047619047619, 0.775]"
AC,U_5,0.5,0.001,0.05,1,0.7846153846153846,"[0.7647058823529411, 0.7142857142857143, 0.8518518518518519]"
AC,U_5,0.6,0.001,0.8,1,0.8461538461538461,"[0.8, 0.7647058823529411, 0.92]"
AC,U_5,0.7,0.001,0.05,1,0.7435897435897436,"[0.5, 0.7333333333333333, 0.7727272727272727]"
AC,U_5,0.8,0.01,0.05,1,0.9615384615384616,"[0, 0.9, 1.0]"
AC,U_5,0.9,0.1,0.1,1,1.0,"[0, 0, 1.0]"
AC,U_6,0.05,0.001,0.5,1,0.5752688172043011,"[0.5306122448979592, 0.5538461538461539, 0.625]"
AC,U_6,0.1,0.5,0.1,1,0.32954545454545453,"[0.55, 0.296875, 0.2361111111111111]"
AC,U_6,0.2,0.1,0.9,1,0.6923076923076923,"[0.6333333333333333, 0.6, 0.7887323943661971]"
AC,U_6,0.3,0.01,0.8,1,0.6277372262773723,"[0.5789473684210527, 0.3877551020408163, 0.8115942028985508]"
AC,U_6,0.4,0.001,0.8,1,0.7350427350427351,"[0.5789473684210527, 0.6739130434782609, 0.8461538461538461]"
AC,U_6,0.5,0.01,0.2,1,0.7551020408163265,"[0.5384615384615384, 0.7, 0.8666666666666667]"
AC,U_6,0.6,0.001,0.1,1,0.7435897435897436,"[0.6363636363636364, 0.6451612903225806, 0.8611111111111112]"
