User,Threshold,LearningRate,Discount,Accuracy
a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,0.8,0.001,0.8,
a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,0.9,0.01,0.2,
ac5b65d7-f260-4534-9fae-d998b726ed32,0.05,0.001,0.2,
ac5b65d7-f260-4534-9fae-d998b726ed32,0.1,0.001,0.05,
ac5b65d7-f260-4534-9fae-d998b726ed32,0.2,0.001,0.2,
ac5b65d7-f260-4534-9fae-d998b726ed32,0.3,0.001,0.05,
ac5b65d7-f260-4534-9fae-d998b726ed32,0.4,0.001,0.2,
ac5b65d7-f260-4534-9fae-d998b726ed32,0.5,0.001,0.1,
ac5b65d7-f260-4534-9fae-d998b726ed32,0.6,0.001,0.8,
ac5b65d7-f260-4534-9fae-d998b726ed32,0.7,0.001,0.5,
ac5b65d7-f260-4534-9fae-d998b726ed32,0.8,0.5,0.8,
ac5b65d7-f260-4534-9fae-d998b726ed32,0.9,0.01,0.05,
bc9f9425-e867-4876-a5d9-791229916767,0.05,0.0001,0.1,
bc9f9425-e867-4876-a5d9-791229916767,0.1,0.001,0.05,
bc9f9425-e867-4876-a5d9-791229916767,0.2,0.001,0.1,
bc9f9425-e867-4876-a5d9-791229916767,0.3,0.001,0.05,
bc9f9425-e867-4876-a5d9-791229916767,0.4,0.001,0.99,
bc9f9425-e867-4876-a5d9-791229916767,0.5,0.001,0.05,
bc9f9425-e867-4876-a5d9-791229916767,0.6,0.01,0.05,
bc9f9425-e867-4876-a5d9-791229916767,0.7,0.001,0.2,
bc9f9425-e867-4876-a5d9-791229916767,0.8,0.01,0.5,
bc9f9425-e867-4876-a5d9-791229916767,0.9,0.01,0.1,
bda49380-37ad-41c5-a109-7fa198a7691a,0.05,0.001,0.2,
bda49380-37ad-41c5-a109-7fa198a7691a,0.1,0.001,0.1,
bda49380-37ad-41c5-a109-7fa198a7691a,0.2,0.001,0.2,
bda49380-37ad-41c5-a109-7fa198a7691a,0.3,0.001,0.05,
bda49380-37ad-41c5-a109-7fa198a7691a,0.4,0.01,0.8,
bda49380-37ad-41c5-a109-7fa198a7691a,0.5,0.01,0.05,
bda49380-37ad-41c5-a109-7fa198a7691a,0.6,0.01,0.05,
bda49380-37ad-41c5-a109-7fa198a7691a,0.7,0.01,0.05,
bda49380-37ad-41c5-a109-7fa198a7691a,0.8,0.01,0.05,
bda49380-37ad-41c5-a109-7fa198a7691a,0.9,0.01,0.05,
cd3ef507-e3e9-4edb-9222-90a69a9bf272,0.05,0.0001,0.2,
cd3ef507-e3e9-4edb-9222-90a69a9bf272,0.1,0.001,0.2,
cd3ef507-e3e9-4edb-9222-90a69a9bf272,0.2,0.0001,0.2,
cd3ef507-e3e9-4edb-9222-90a69a9bf272,0.3,0.001,0.05,
cd3ef507-e3e9-4edb-9222-90a69a9bf272,0.4,0.01,0.5,
cd3ef507-e3e9-4edb-9222-90a69a9bf272,0.5,0.001,0.1,
cd3ef507-e3e9-4edb-9222-90a69a9bf272,0.6,0.001,0.05,
cd3ef507-e3e9-4edb-9222-90a69a9bf272,0.7,0.01,0.1,
cd3ef507-e3e9-4edb-9222-90a69a9bf272,0.8,0.01,0.1,
cd3ef507-e3e9-4edb-9222-90a69a9bf272,0.9,0.01,0.05,
d6555293-35c7-4c27-b522-38d67d2d1b1a,0.05,0.001,0.5,
d6555293-35c7-4c27-b522-38d67d2d1b1a,0.1,0.1,0.5,
d6555293-35c7-4c27-b522-38d67d2d1b1a,0.2,0.001,0.05,
d6555293-35c7-4c27-b522-38d67d2d1b1a,0.3,0.01,0.9,
d6555293-35c7-4c27-b522-38d67d2d1b1a,0.4,0.001,0.2,
d6555293-35c7-4c27-b522-38d67d2d1b1a,0.5,0.1,0.5,
d6555293-35c7-4c27-b522-38d67d2d1b1a,0.6,1.0,0.5,
d6555293-35c7-4c27-b522-38d67d2d1b1a,0.7,0.01,0.05,
d6555293-35c7-4c27-b522-38d67d2d1b1a,0.8,0.001,0.1,
d6555293-35c7-4c27-b522-38d67d2d1b1a,0.9,0.001,0.5,
da52acdd-3cea-483c-86e5-2c2740d371aa,0.05,0.001,0.05,
da52acdd-3cea-483c-86e5-2c2740d371aa,0.1,0.0001,0.1,
da52acdd-3cea-483c-86e5-2c2740d371aa,0.2,0.01,0.05,
da52acdd-3cea-483c-86e5-2c2740d371aa,0.3,0.001,0.1,
da52acdd-3cea-483c-86e5-2c2740d371aa,0.4,0.001,0.05,
da52acdd-3cea-483c-86e5-2c2740d371aa,0.5,0.01,0.05,
da52acdd-3cea-483c-86e5-2c2740d371aa,0.6,0.001,0.1,
da52acdd-3cea-483c-86e5-2c2740d371aa,0.7,0.001,0.1,
da52acdd-3cea-483c-86e5-2c2740d371aa,0.8,0.01,0.9,
da52acdd-3cea-483c-86e5-2c2740d371aa,0.9,0.01,0.05,
e4221e48-0930-40db-af3c-f4de1ed87582,0.05,0.0001,0.05,
e4221e48-0930-40db-af3c-f4de1ed87582,0.1,0.001,0.2,
e4221e48-0930-40db-af3c-f4de1ed87582,0.2,0.001,0.1,
e4221e48-0930-40db-af3c-f4de1ed87582,0.3,0.01,0.05,
e4221e48-0930-40db-af3c-f4de1ed87582,0.4,0.01,0.8,
e4221e48-0930-40db-af3c-f4de1ed87582,0.5,0.001,0.05,
e4221e48-0930-40db-af3c-f4de1ed87582,0.6,0.01,0.05,
e4221e48-0930-40db-af3c-f4de1ed87582,0.7,0.01,0.05,
e4221e48-0930-40db-af3c-f4de1ed87582,0.8,0.001,0.1,
e4221e48-0930-40db-af3c-f4de1ed87582,0.9,0.01,0.05,
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.05,0.001,0.05,
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.1,0.001,0.5,
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.2,0.001,0.05,
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.3,0.01,0.05,
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.4,0.01,0.05,
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.5,0.01,0.99,
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.6,0.01,0.05,
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.7,0.01,0.05,
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.8,0.01,0.05,
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.9,0.001,0.2,
