User,Epsilon,Threshold,LearningRate,Discount,Accuracy,StateAccuracy
U_17,0.1,0.05,0.0001,0.05,0.4117647058823529,"[0.75, 0.1875, 0.6333333333333333]"
U_17,0.01,0.1,0.1,0.2,0.6708860759493671,"[0.75, 0.7272727272727273, 0.4]"
U_17,0.1,0.2,0.5,0.9,0.7,"[0.7894736842105263, 0.7435897435897436, 0.4166666666666667]"
U_17,0.1,0.3,0.5,0.05,0.7049180327868853,"[0.7368421052631579, 0.7142857142857143, 0.5714285714285714]"
U_17,0.1,0.4,0.1,0.1,0.7358490566037735,"[0.8125, 0.7666666666666667, 0.42857142857142855]"
U_17,0.1,0.5,0.5,0.1,0.6590909090909091,"[0.7857142857142857, 0.625, 0.5]"
U_17,0.05,0.6,0.5,0.1,0.7142857142857143,"[0.7857142857142857, 0.6875, 0.6]"
U_17,0.1,0.7,0.5,0.1,0.6666666666666666,"[0.9230769230769231, 0.3333333333333333, 0.6]"
U_17,0.1,0.8,0.1,0.5,0.7777777777777778,"[0.875, 0.6666666666666666, 0.75]"
U_17,0.05,0.9,0.5,0.05,0.6666666666666666,"[1.0, 0.75, 0.5]"
U_18,0.01,0.05,0.0001,0.05,0.5833333333333334,"[0.8, 0.1724137931034483, 0.8]"
U_18,0.1,0.1,0.0001,0.05,0.5128205128205128,"[0.14285714285714285, 0.15384615384615385, 0.8947368421052632]"
U_18,0.1,0.2,0.1,0.05,0.34285714285714286,"[0.14285714285714285, 0.7, 0.2222222222222222]"
U_18,0.01,0.3,0.1,0.8,0.1935483870967742,"[0.14285714285714285, 0.6666666666666666, 0.05555555555555555]"
U_18,0.1,0.4,0.1,0.1,0.6538461538461539,"[0.14285714285714285, 0.6666666666666666, 0.9230769230769231]"
U_18,0.01,0.5,0.5,0.2,0.5909090909090909,"[0.14285714285714285, 0.6666666666666666, 0.8888888888888888]"
U_18,0.1,0.6,0.5,0.5,0.7222222222222222,"[0.5714285714285714, 0.6666666666666666, 1.0]"
U_18,0.01,0.7,0.5,0.5,0.46153846153846156,"[0.2857142857142857, 0.5, 1.0]"
U_18,0.1,0.8,0.1,0.2,0.7777777777777778,"[0.75, 0.6666666666666666, 1.0]"
U_18,0.01,0.9,0.5,0.1,0.6,"[0, 0.3333333333333333, 1.0]"
U_19,0.1,0.05,0.01,0.05,0.5426356589147286,"[0.7441860465116279, 0.6296296296296297, 0.125]"
U_19,0.01,0.1,0.5,0.8,0.35,"[0.8333333333333334, 0.11538461538461539, 0.1875]"
U_19,0.01,0.2,0.1,0.2,0.5471698113207547,"[0.6363636363636364, 0.7307692307692307, 0.1875]"
U_19,0.1,0.3,0.1,0.05,0.46808510638297873,"[0.5555555555555556, 0.6521739130434783, 0.13333333333333333]"
U_19,0.01,0.4,0.1,0.1,0.55,"[0.75, 0.7647058823529411, 0.2]"
U_19,0.01,0.5,0.5,0.9,0.45454545454545453,"[0.6666666666666666, 0.7692307692307693, 0.07142857142857142]"
U_19,0.1,0.6,0.01,0.05,0.37037037037037035,"[0.6666666666666666, 0.7, 0.07142857142857142]"
U_19,0.1,0.7,0.1,0.5,0.2,"[0.6666666666666666, 0.5, 0.0]"
U_19,0.1,0.8,0.1,0.05,0.0,"[0, 0.0, 0.0]"
U_19,0.1,0.9,0.1,0.05,1.0,"[0, 0, 1.0]"
U_2,0.1,0.05,0.001,0.5,0.6434426229508197,"[0.45, 0.7215909090909091, 0.42857142857142855]"
U_2,0.1,0.1,0.1,0.1,0.6902654867256637,"[0.5263157894736842, 0.7710843373493976, 0.36363636363636365]"
U_2,0.1,0.2,0.001,0.5,0.68,"[0.5, 0.76, 0.36363636363636365]"
U_2,0.1,0.3,0.01,0.05,0.7272727272727273,"[0.6153846153846154, 0.7692307692307693, 0.6]"
U_2,0.01,0.4,0.1,0.05,0.72,"[0.5, 0.7777777777777778, 0.6666666666666666]"
U_2,0.1,0.5,0.5,0.1,0.6666666666666666,"[0.36363636363636365, 0.7608695652173914, 0.5]"
U_2,0.1,0.6,0.5,0.1,0.58,"[0.375, 0.6944444444444444, 0.16666666666666666]"
U_2,0.01,0.7,0.5,0.05,0.6578947368421053,"[0.42857142857142855, 0.7307692307692307, 0.6]"
U_2,0.05,0.8,0.1,0.9,0.72,"[0.6666666666666666, 0.7222222222222222, 0.75]"
U_2,0.05,0.9,0.5,0.9,0.6153846153846154,"[0.5, 0.6, 1.0]"
U_20,0.1,0.05,0.0001,0.05,0.5669291338582677,"[0.15, 0.6323529411764706, 0.839622641509434]"
U_20,0.1,0.1,0.1,0.2,0.7435897435897436,"[0.5897435897435898, 0.6896551724137931, 0.8979591836734694]"
U_20,0.1,0.2,0.1,0.1,0.8269230769230769,"[0.8888888888888888, 0.5238095238095238, 0.9148936170212766]"
U_20,0.01,0.3,0.5,0.5,0.8351648351648352,"[0.8148148148148148, 0.631578947368421, 0.9333333333333333]"
