User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy
7d014c75-453b-4188-9e4e-fb086984896a,0.9,0.0001,0.05,0.1,0.8,"[1.0, 0.4, 0.9090909090909091]"
82316e37-1117-4663-84b4-ddb6455c83b2,0.05,0.0001,0.8,1.0,0.2765957446808511,"[0.3333333333333333, 0.32, 0.15384615384615385]"
82316e37-1117-4663-84b4-ddb6455c83b2,0.1,0.0001,0.9,0.1,0.5333333333333333,"[0.7777777777777778, 0.6521739130434783, 0.15384615384615385]"
82316e37-1117-4663-84b4-ddb6455c83b2,0.2,0.0001,0.05,0.1,0.575,"[0.4444444444444444, 0.6666666666666666, 0.5384615384615384]"
82316e37-1117-4663-84b4-ddb6455c83b2,0.3,0.0001,0.8,0.1,0.37142857142857144,"[0.2222222222222222, 0.7142857142857143, 0.08333333333333333]"
82316e37-1117-4663-84b4-ddb6455c83b2,0.4,0.001,0.1,1.0,0.5666666666666667,"[0.5, 0.7142857142857143, 0.4166666666666667]"
82316e37-1117-4663-84b4-ddb6455c83b2,0.5,0.1,0.99,0.1,0.4,"[0.0, 0.6666666666666666, 0.16666666666666666]"
82316e37-1117-4663-84b4-ddb6455c83b2,0.6,0.1,0.5,8.0,0.45,"[0.0, 0.2, 0.7777777777777778]"
82316e37-1117-4663-84b4-ddb6455c83b2,0.7,0.001,0.9,1.0,0.7333333333333333,"[0, 0.6666666666666666, 0.7777777777777778]"
82316e37-1117-4663-84b4-ddb6455c83b2,0.8,0.01,0.2,1.0,0.6,"[0, 0.6666666666666666, 0.5714285714285714]"
82316e37-1117-4663-84b4-ddb6455c83b2,0.9,0.1,0.5,1.0,0.6,"[0, 0.6666666666666666, 0.5]"
8b544d24-3274-4bb0-9719-fd2bccc87b02,0.05,0.0001,0.5,10.0,0.39436619718309857,"[0.5454545454545454, 0.39215686274509803, 0.2222222222222222]"
8b544d24-3274-4bb0-9719-fd2bccc87b02,0.1,0.0001,0.05,0.1,0.6716417910447762,"[0.6363636363636364, 0.723404255319149, 0.4444444444444444]"
8b544d24-3274-4bb0-9719-fd2bccc87b02,0.2,0.001,0.5,1.0,0.7333333333333333,"[0.6363636363636364, 0.8, 0.5555555555555556]"
8b544d24-3274-4bb0-9719-fd2bccc87b02,0.3,0.001,0.8,0.1,0.7884615384615384,"[0.6363636363636364, 0.8648648648648649, 0.5]"
8b544d24-3274-4bb0-9719-fd2bccc87b02,0.4,0.001,0.5,0.1,0.7555555555555555,"[0.6363636363636364, 0.8333333333333334, 0.5]"
8b544d24-3274-4bb0-9719-fd2bccc87b02,0.5,0.01,0.8,8.0,0.7297297297297297,"[0.625, 0.84, 0.25]"
8b544d24-3274-4bb0-9719-fd2bccc87b02,0.6,0.001,0.1,0.1,0.7,"[0.625, 0.7777777777777778, 0.5]"
8b544d24-3274-4bb0-9719-fd2bccc87b02,0.7,0.001,0.1,0.1,0.6956521739130435,"[0.0, 0.8235294117647058, 0.5]"
8b544d24-3274-4bb0-9719-fd2bccc87b02,0.8,0.0001,0.99,0.1,0.6666666666666666,"[0.0, 0.8, 0.6666666666666666]"
8b544d24-3274-4bb0-9719-fd2bccc87b02,0.9,0.001,0.8,1.0,0.75,"[0, 0.8333333333333334, 0.5]"
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.05,0.0001,0.2,8.0,0.35064935064935066,"[0.35, 0.4146341463414634, 0.1875]"
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.1,0.0001,0.05,0.1,0.3150684931506849,"[0.35, 0.3783783783783784, 0.125]"
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.2,0.5,0.5,1.0,0.6,"[0.6, 0.6176470588235294, 0.5454545454545454]"
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.3,0.5,0.2,10.0,0.5789473684210527,"[0.631578947368421, 0.59375, 0.3333333333333333]"
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.4,0.001,0.1,0.1,0.6326530612244898,"[0.6470588235294118, 0.6666666666666666, 0.4]"
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.5,0.1,0.05,10.0,0.5853658536585366,"[0.5384615384615384, 0.6521739130434783, 0.4]"
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.6,0.01,0.05,1.0,0.6666666666666666,"[0.7272727272727273, 0.6842105263157895, 0.3333333333333333]"
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.7,0.1,0.5,1.0,0.64,"[0.6666666666666666, 0.6470588235294118, 0.5]"
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.8,0.1,0.2,5.0,0.7647058823529411,"[1.0, 0.7857142857142857, 0.5]"
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.9,0.01,0.5,5.0,0.6666666666666666,"[0.0, 0.7142857142857143, 1.0]"
93be0a02-3f7a-46c9-b526-aa956ed00856,0.05,0.01,0.5,10.0,0.4435483870967742,"[0.4358974358974359, 0.5625, 0.37735849056603776]"
93be0a02-3f7a-46c9-b526-aa956ed00856,0.1,0.001,0.05,1.0,0.811965811965812,"[0.8717948717948718, 0.6206896551724138, 0.8775510204081632]"
