User,Accuracy,Threshold,LearningRate,Discount,Algorithm,StateAccuracy,Reward
U_14,0.5909090909090909,0.5,,,Random,"[0.6666666666666666, 0.2857142857142857, 0.7777777777777778]",
U_14,0.47058823529411764,0.6,,,Random,"[0.6666666666666666, 0.2857142857142857, 0.5]",
U_14,0.46153846153846156,0.7,,,Random,"[0.6, 0.0, 0.75]",
U_14,0.5,0.8,,,Random,"[None, 0.5, 0.5]",
U_14,0.6666666666666666,0.9,,,Random,"[None, None, 0.6666666666666666]",
U_15,0.36231884057971014,0.05,,,Random,"[0.45454545454545453, 0.28, 0.75]",
U_15,0.3230769230769231,0.1,,,Random,"[0.36363636363636365, 0.2826086956521739, 0.5]",
U_15,0.41379310344827586,0.2,,,Random,"[0.6363636363636364, 0.28205128205128205, 0.75]",
U_15,0.42,0.3,,,Random,"[0.5454545454545454, 0.3611111111111111, 0.6666666666666666]",
U_15,0.2558139534883721,0.4,,,Random,"[0.2727272727272727, 0.27586206896551724, 0.0]",
U_15,0.2857142857142857,0.5,,,Random,"[0.5, 0.20833333333333334, 0.3333333333333333]",
U_15,0.42857142857142855,0.6,,,Random,"[0.5, 0.29411764705882354, 1.0]",
U_15,0.42857142857142855,0.7,,,Random,"[1.0, 0.3125, 0.6666666666666666]",
U_15,0.15384615384615385,0.8,,,Random,"[0.5, 0.0, 0.5]",
U_15,0.5,0.9,,,Random,"[None, 0.4, 1.0]",
U_16,0.5818181818181818,0.05,,,Random,"[1.0, 0.41025641025641024, 1.0]",
U_16,0.46153846153846156,0.1,,,Random,"[0.7142857142857143, 0.4444444444444444, 0.3333333333333333]",
U_16,0.45652173913043476,0.2,,,Random,"[0.8571428571428571, 0.3548387096774194, 0.5]",
U_16,0.475,0.3,,,Random,"[0.4, 0.4074074074074074, 0.75]",
U_16,0.2647058823529412,0.4,,,Random,"[0.4, 0.21739130434782608, 0.3333333333333333]",
U_16,0.42857142857142855,0.5,,,Random,"[0.25, 0.3888888888888889, 0.6666666666666666]",
U_16,0.5,0.6,,,Random,"[0.25, 0.5384615384615384, 0.6]",
U_16,0.5,0.7,,,Random,"[0.75, 0.3, 1.0]",
U_16,0.7,0.8,,,Random,"[1.0, 0.5714285714285714, 1.0]",
U_16,0.5,0.9,,,Random,"[0.0, 0.6666666666666666, None]",
U_17,0.4074074074074074,0.05,,,Random,"[0.7894736842105263, 0.2553191489361702, 0.4]",
U_17,0.44155844155844154,0.1,,,Random,"[0.42105263157894735, 0.46511627906976744, 0.4]",
U_17,0.4852941176470588,0.2,,,Random,"[0.5, 0.4473684210526316, 0.5833333333333334]",
U_17,0.4067796610169492,0.3,,,Random,"[0.5294117647058824, 0.4, 0.14285714285714285]",
U_17,0.3137254901960784,0.4,,,Random,"[0.3333333333333333, 0.23333333333333334, 0.6666666666666666]",
U_17,0.40476190476190477,0.5,,,Random,"[0.46153846153846156, 0.30434782608695654, 0.6666666666666666]",
U_17,0.3939393939393939,0.6,,,Random,"[0.6153846153846154, 0.26666666666666666, 0.2]",
U_17,0.52,0.7,,,Random,"[0.3333333333333333, 0.625, 0.8]",
U_17,0.25,0.8,,,Random,"[0.16666666666666666, 0.3333333333333333, 0.25]",
U_17,0.7142857142857143,0.9,,,Random,"[None, 0.75, 0.6666666666666666]",
U_18,0.41025641025641024,0.05,,,Random,"[0.2857142857142857, 0.07692307692307693, 0.6842105263157895]",
