Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon,Algo,original_dataframe_index
Actor_Critic,pro23_acf_p4,0.4,0.0001,0.9,1.0,0.1533333333333333,"[None, None, None]",0.0,0.0,ActorCritic,14
Actor_Critic,pro23_acf_p4,0.5,0.1,0.1,1.0,0.12,"[None, None, None]",0.0,0.0,ActorCritic,15
Actor_Critic,pro23_acf_p4,0.6,0.001,0.1,1.0,0.74,"[None, None, None]",0.0,0.0,ActorCritic,16
Actor_Critic,pro23_acf_p4,0.7,0.0001,0.99,1.0,0.6933333333333334,"[None, None, None]",0.0,0.0,ActorCritic,17
Actor_Critic,pro23_acf_p4,0.8,0.001,0.99,1.0,0.8,"[None, None, None]",0.0,0.0,ActorCritic,18
Actor_Critic,pro23_acf_p4,0.9,0.0001,0.8,1.0,0.8800000000000001,"[None, None, None]",0.0,0.0,ActorCritic,19
Actor_Critic,pro13_ace_p4,0.05,0.0001,0.1,1.0,0.6142857142857143,"[None, None, None]",0.0,0.0,ActorCritic,20
Actor_Critic,pro13_ace_p4,0.1,0.0001,0.1,1.0,0.6399999999999999,"[None, None, None]",0.0,0.0,ActorCritic,21
Actor_Critic,pro13_ace_p4,0.2,0.0001,0.05,1.0,0.6333333333333333,"[None, None, None]",0.0,0.0,ActorCritic,22
Actor_Critic,pro13_ace_p4,0.3,0.1,0.1,1.0,0.6580645161290322,"[None, None, None]",0.0,0.0,ActorCritic,23
Actor_Critic,pro13_ace_p4,0.4,0.0001,0.9,1.0,0.6814814814814814,"[None, None, None]",0.0,0.0,ActorCritic,24
Actor_Critic,pro13_ace_p4,0.5,0.001,0.1,1.0,0.7272727272727273,"[None, None, None]",0.0,0.0,ActorCritic,25
Actor_Critic,pro13_ace_p4,0.6,0.001,0.5,1.0,0.7222222222222222,"[None, None, None]",0.0,0.0,ActorCritic,26
Actor_Critic,pro13_ace_p4,0.7,0.0001,0.9,1.0,0.7142857142857143,"[None, None, None]",0.0,0.0,ActorCritic,27
Actor_Critic,pro13_ace_p4,0.8,0.001,0.1,1.0,0.5555555555555556,"[None, None, None]",0.0,0.0,ActorCritic,28
Actor_Critic,pro13_ace_p4,0.9,0.0001,0.99,1.0,0.4,"[None, None, None]",0.0,0.0,ActorCritic,29
Actor_Critic,pro18_adf_p4,0.05,0.0001,0.9,1.0,0.7488372093023256,"[None, None, None]",0.0,0.0,ActorCritic,30
Actor_Critic,pro18_adf_p4,0.1,0.0001,0.1,1.0,0.6780487804878049,"[None, None, None]",0.0,0.0,ActorCritic,31
Actor_Critic,pro18_adf_p4,0.2,0.0001,0.1,1.0,0.5833333333333333,"[None, None, None]",0.0,0.0,ActorCritic,32
Actor_Critic,pro18_adf_p4,0.3,0.0001,0.05,1.0,0.775,"[None, None, None]",0.0,0.0,ActorCritic,33
Actor_Critic,pro18_adf_p4,0.4,0.001,0.05,1.0,0.8518518518518519,"[None, None, None]",0.0,0.0,ActorCritic,34
Actor_Critic,pro18_adf_p4,0.5,0.0001,0.5,1.0,0.8521739130434783,"[None, None, None]",0.0,0.0,ActorCritic,35
Actor_Critic,pro18_adf_p4,0.6,0.1,0.9,1.0,0.8333333333333334,"[None, None, None]",0.0,0.0,ActorCritic,36
Actor_Critic,pro18_adf_p4,0.7,0.0001,0.2,1.0,0.7857142857142857,"[None, None, None]",0.0,0.0,ActorCritic,37
