User,Threshold,LearningRate,Discount,Temperature,Accuracy
U_20,0.9,0.001,0.05,0.1,0.6923076923076923
U_3,0.05,0.0001,0.05,1.0,0.32558139534883723
U_3,0.1,0.0001,0.1,0.1,0.43902439024390244
U_3,0.2,0.0001,0.05,0.1,0.6666666666666666
U_3,0.3,0.0001,0.05,0.1,0.75
U_3,0.4,0.01,0.1,8.0,0.8518518518518519
U_3,0.5,0.01,0.8,1.0,0.8260869565217391
U_3,0.6,0.01,0.1,5.0,0.7777777777777778
U_3,0.7,0.01,0.05,5.0,0.7857142857142857
U_3,0.8,0.01,0.1,8.0,0.7777777777777778
U_3,0.9,0.01,0.1,5.0,0.6
U_4,0.05,0.01,0.9,8.0,0.6103896103896104
U_4,0.1,0.0001,0.05,8.0,0.4246575342465753
U_4,0.2,0.01,0.5,5.0,0.6153846153846154
U_4,0.3,0.001,0.05,0.1,0.631578947368421
U_4,0.4,0.01,0.2,8.0,0.5714285714285714
U_4,0.5,0.01,0.5,10.0,0.6585365853658537
U_4,0.6,0.01,0.2,10.0,0.696969696969697
U_4,0.7,0.01,0.5,1.0,0.68
U_4,0.8,0.01,0.05,5.0,0.7058823529411765
U_4,0.9,0.01,0.5,1.0,0.6666666666666666
U_5,0.05,0.0001,0.5,0.1,0.4715447154471545
U_5,0.1,0.01,0.9,5.0,0.6837606837606838
U_5,0.2,0.01,0.8,5.0,0.5961538461538461
U_5,0.3,0.01,0.05,8.0,0.8461538461538461
U_5,0.4,0.01,0.8,10.0,0.8461538461538461
U_5,0.5,0.1,0.8,8.0,0.6461538461538462
U_5,0.6,0.01,0.2,8.0,0.8461538461538461
U_5,0.7,0.0001,0.05,0.1,0.7692307692307693
U_5,0.8,0.01,0.2,8.0,0.9615384615384616
U_5,0.9,0.01,0.5,8.0,1.0
U_6,0.05,0.001,0.5,0.1,0.478494623655914
U_6,0.1,0.01,0.99,1.0,0.7329545454545454
U_6,0.2,0.0001,0.05,0.1,0.7307692307692307
U_6,0.3,0.01,0.2,5.0,0.7518248175182481
U_6,0.4,0.001,0.05,0.1,0.7435897435897436
U_6,0.5,0.001,0.05,0.1,0.7551020408163265
U_6,0.6,0.001,0.9,0.1,0.782051282051282
U_6,0.7,0.001,0.05,0.1,0.7627118644067796
U_6,0.8,0.0001,0.2,0.1,0.717948717948718
U_6,0.9,0.01,0.5,5.0,0.8
U_7,0.05,0.0001,0.05,5.0,0.3191489361702128
