Algorithm,User,Threshold,LearningRate,Discount,Epsilon,Accuracy,StateAccuracy,Reward
TAMER-Q,data/NDSI-2D/U_18,0.05,0.0001,0.9,0.01,1.0,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_18,0.1,0.5,0.05,0.7,0.25,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_18,0.2,0.5,0.99,0.05,0.375,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_18,0.3,0.001,0.1,0.5,0.4166666666666667,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_18,0.4,0.001,0.8,0.1,0.7647058823529411,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_18,0.5,1.0,0.9,0.1,0.7619047619047619,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_18,0.6,0.0001,0.2,0.1,0.8,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_18,0.7,0.001,0.05,0.01,0.8666666666666667,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_18,0.8,0.0001,0.05,0.01,0.8235294117647058,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_18,0.9,0.001,0.2,0.1,0.8157894736842105,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_19,0.05,0.0001,0.05,0.1,0.6666666666666666,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_19,0.1,0.001,0.5,0.1,0.6666666666666666,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_19,0.2,0.0001,0.5,0.01,0.8461538461538461,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_19,0.3,0.001,0.1,0.01,0.7368421052631579,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_19,0.4,1.0,0.99,0.1,0.6153846153846154,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_19,0.5,0.0001,0.1,0.01,0.7575757575757576,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_19,0.6,0.001,0.2,0.05,0.7692307692307693,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_19,0.7,0.001,0.1,0.01,0.7608695652173914,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_19,0.8,0.0001,0.05,0.01,0.7692307692307693,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_19,0.9,0.0001,0.1,0.05,0.7457627118644068,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_2,0.05,0.0001,0.8,0.1,0.6666666666666666,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_2,0.1,0.0001,0.05,0.1,0.75,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_2,0.2,0.001,0.8,0.1,0.72,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_2,0.3,0.0001,0.99,0.01,0.7027027027027027,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_2,0.4,0.0001,0.8,0.01,0.72,"[None, None, None]",0
