u,Task,Dataset,Experiment,Openendedness,Total_interactions,Action_counts
stu3,1,movies,moviesacf,focused,75,"{'same': 51, 'modify-1': 1, 'modify-2': 16, 'modify-3': 7}"
stu4,1,movies,moviesade,focused,37,"{'same': 27, 'modify-1': 8, 'modify-2': 2, 'modify-3': 0}"
stu6,1,movies,moviesacf,focused,66,"{'same': 33, 'modify-1': 16, 'modify-2': 16, 'modify-3': 1}"
stu7,1,movies,moviesade,focused,40,"{'same': 20, 'modify-1': 20, 'modify-2': 0, 'modify-3': 0}"
pro13,2,movies,moviesace,open,128,"{'same': 81, 'modify-1': 30, 'modify-2': 17, 'modify-3': 0}"
pro15,2,movies,moviesade,open,107,"{'same': 41, 'modify-1': 51, 'modify-2': 14, 'modify-3': 1}"
pro17,2,movies,moviesace,open,140,"{'same': 84, 'modify-1': 42, 'modify-2': 11, 'modify-3': 3}"
pro18,2,movies,moviesadf,open,122,"{'same': 49, 'modify-1': 53, 'modify-2': 17, 'modify-3': 3}"
pro20,2,movies,moviesade,open,283,"{'same': 155, 'modify-1': 119, 'modify-2': 9, 'modify-3': 0}"
pro21,2,movies,moviesade,open,262,"{'same': 112, 'modify-1': 113, 'modify-2': 36, 'modify-3': 1}"
pro22,2,movies,moviesade,open,197,"{'same': 122, 'modify-1': 33, 'modify-2': 38, 'modify-3': 4}"
pro23,2,movies,moviesacf,open,188,"{'same': 106, 'modify-1': 19, 'modify-2': 58, 'modify-3': 5}"
pro24,2,movies,moviesadf,open,77,"{'same': 38, 'modify-1': 15, 'modify-2': 24, 'modify-3': 0}"
pro25,2,movies,moviesacf,open,126,"{'same': 58, 'modify-1': 4, 'modify-2': 59, 'modify-3': 5}"
pro29,2,movies,moviesace,open,178,"{'same': 128, 'modify-1': 42, 'modify-2': 6, 'modify-3': 2}"
pro31,2,movies,moviesadf,open,103,"{'same': 72, 'modify-1': 10, 'modify-2': 17, 'modify-3': 4}"
pro3,2,movies,moviesace,open,67,"{'same': 30, 'modify-1': 35, 'modify-2': 2, 'modify-3': 0}"
pro5,2,movies,moviesadf,open,92,"{'same': 38, 'modify-1': 20, 'modify-2': 32, 'modify-3': 2}"
pro8,2,movies,moviesacf,open,115,"{'same': 57, 'modify-1': 14, 'modify-2': 43, 'modify-3': 1}"
pro9,2,movies,moviesacf,open,186,"{'same': 111, 'modify-1': 43, 'modify-2': 25, 'modify-3': 7}"
stu10,2,movies,moviesacf,open,174,"{'same': 113, 'modify-1': 11, 'modify-2': 48, 'modify-3': 2}"
stu11,2,movies,moviesadf,open,144,"{'same': 74, 'modify-1': 20, 'modify-2': 45, 'modify-3': 5}"
stu13,2,movies,moviesacf,open,149,"{'same': 78, 'modify-1': 8, 'modify-2': 58, 'modify-3': 5}"
stu15,2,movies,moviesade,open,221,"{'same': 109, 'modify-1': 55, 'modify-2': 54, 'modify-3': 3}"
stu17,2,movies,moviesace,open,75,"{'same': 26, 'modify-1': 21, 'modify-2': 25, 'modify-3': 3}"
stu21,2,movies,moviesace,open,95,"{'same': 49, 'modify-1': 23, 'modify-2': 21, 'modify-3': 2}"
stu24,2,movies,moviesace,open,176,"{'same': 73, 'modify-1': 92, 'modify-2': 11, 'modify-3': 0}"
stu25,2,movies,moviesace,open,88,"{'same': 55, 'modify-1': 26, 'modify-2': 7, 'modify-3': 0}"
