Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward
Reinforce,stu10_acf_p4,0.3,0.0001,0.1,,0.8911764705882353,"[None, None, None]",0
Reinforce,stu10_acf_p4,0.4,0.001,0.05,,0.913793103448276,"[None, None, None]",0
Reinforce,stu10_acf_p4,0.5,0.0001,0.05,,0.9041666666666666,"[None, None, None]",0
Reinforce,stu10_acf_p4,0.6,0.0001,0.1,,0.8974358974358975,"[None, None, None]",0
Reinforce,stu10_acf_p4,0.7,0.0001,0.05,,0.8965517241379309,"[None, None, None]",0
Reinforce,stu10_acf_p4,0.8,0.001,0.05,,0.9,"[None, None, None]",0
Reinforce,stu10_acf_p4,0.9,0.001,0.05,,0.9,"[None, None, None]",0
Reinforce,pro21_ade_p4,0.05,0.0001,0.05,,0.6147783251231528,"[None, None, None]",0
Reinforce,pro21_ade_p4,0.1,0.01,0.1,,0.1552083333333333,"[None, None, None]",0
Reinforce,pro21_ade_p4,0.2,0.001,0.2,,0.6432748538011696,"[None, None, None]",0
Reinforce,pro21_ade_p4,0.3,0.001,0.05,,0.6386666666666667,"[None, None, None]",0
Reinforce,pro21_ade_p4,0.4,0.001,0.05,,0.646875,"[None, None, None]",0
Reinforce,pro21_ade_p4,0.5,0.001,0.05,,0.6448598130841121,"[None, None, None]",0
Reinforce,pro21_ade_p4,0.6,0.0001,0.5,,0.6395348837209303,"[None, None, None]",0
Reinforce,pro21_ade_p4,0.7,0.001,0.05,,0.703125,"[None, None, None]",0
Reinforce,pro21_ade_p4,0.8,0.001,0.05,,0.6511627906976745,"[None, None, None]",0
Reinforce,pro21_ade_p4,0.9,0.0001,0.05,,0.8,"[None, None, None]",0
Reinforce,stu25_ace_p4,0.05,0.0001,0.05,,0.575,"[None, None, None]",0
Reinforce,stu25_ace_p4,0.1,0.0001,0.1,,0.5433962264150943,"[None, None, None]",0
Reinforce,stu25_ace_p4,0.2,0.0001,0.05,,0.5531914893617023,"[None, None, None]",0
Reinforce,stu25_ace_p4,0.3,0.0001,0.05,,0.6097560975609756,"[None, None, None]",0
Reinforce,stu25_ace_p4,0.4,0.0001,0.2,,0.6057142857142856,"[None, None, None]",0
Reinforce,stu25_ace_p4,0.5,0.0001,0.1,,0.48275862068965514,"[None, None, None]",0
Reinforce,stu25_ace_p4,0.6,0.0001,0.1,,0.5,"[None, None, None]",0
Reinforce,stu25_ace_p4,0.7,0.001,0.1,,0.6111111111111112,"[None, None, None]",0
Reinforce,stu25_ace_p4,0.8,0.0001,0.1,,0.5833333333333334,"[None, None, None]",0
Reinforce,stu25_ace_p4,0.9,0.0001,0.2,,0.5,"[None, None, None]",0
Reinforce,stu21_ace_p4,0.05,0.0001,0.05,,0.6602409638554217,"[None, None, None]",0
Reinforce,stu21_ace_p4,0.1,0.001,0.05,,0.6835443037974683,"[None, None, None]",0
Reinforce,stu21_ace_p4,0.2,0.001,0.8,,0.6714285714285714,"[None, None, None]",0
Reinforce,stu21_ace_p4,0.3,0.0001,0.05,,0.6557377049180327,"[None, None, None]",0
Reinforce,stu21_ace_p4,0.4,0.0001,0.99,,0.5849056603773584,"[None, None, None]",0
Reinforce,stu21_ace_p4,0.5,0.0001,0.05,,0.6045454545454546,"[None, None, None]",0
Reinforce,stu21_ace_p4,0.6,0.0001,0.05,,0.6285714285714286,"[None, None, None]",0
Reinforce,stu21_ace_p4,0.7,0.0001,0.05,,0.5555555555555556,"[None, None, None]",0
Reinforce,stu21_ace_p4,0.8,0.0001,0.5,,0.3888888888888889,"[None, None, None]",0
Reinforce,stu21_ace_p4,0.9,0.0001,0.05,,0.3555555555555555,"[None, None, None]",0
Reinforce,stu24_ace_p4,0.05,0.0001,0.05,,0.48915662650602404,"[None, None, None]",0
Reinforce,stu24_ace_p4,0.1,0.0001,0.05,,0.48607594936708864,"[None, None, None]",0
Reinforce,stu24_ace_p4,0.2,0.001,0.2,,0.49714285714285716,"[None, None, None]",0
Reinforce,stu24_ace_p4,0.3,0.001,0.2,,0.537704918032787,"[None, None, None]",0
Reinforce,stu24_ace_p4,0.4,0.0001,0.99,,0.5358490566037736,"[None, None, None]",0
Reinforce,stu24_ace_p4,0.5,0.001,0.1,,0.5409090909090909,"[None, None, None]",0
Reinforce,stu24_ace_p4,0.6,0.0001,0.05,,0.49714285714285716,"[None, None, None]",0
Reinforce,stu24_ace_p4,0.7,0.0001,0.5,,0.5555555555555556,"[None, None, None]",0
Reinforce,stu24_ace_p4,0.8,0.001,0.1,,0.48888888888888893,"[None, None, None]",0
Reinforce,stu24_ace_p4,0.9,0.001,0.05,,0.4444444444444445,"[None, None, None]",0
Reinforce,stu11_adf_p4,0.05,0.0001,0.1,,0.6654867256637168,"[None, None, None]",0
Reinforce,stu11_adf_p4,0.1,0.0001,0.05,,0.6598130841121495,"[None, None, None]",0
Reinforce,stu11_adf_p4,0.2,0.0001,0.1,,0.7431578947368421,"[None, None, None]",0
Reinforce,stu11_adf_p4,0.3,0.001,0.5,,0.7662650602409637,"[None, None, None]",0
Reinforce,stu11_adf_p4,0.4,0.0001,0.05,,0.8028169014084507,"[None, None, None]",0
Reinforce,stu11_adf_p4,0.5,0.001,0.05,,0.8135593220338982,"[None, None, None]",0
Reinforce,stu11_adf_p4,0.6,0.001,0.1,,0.7916666666666666,"[None, None, None]",0
Reinforce,stu11_adf_p4,0.7,0.0001,0.1,,0.8166666666666667,"[None, None, None]",0
Reinforce,stu11_adf_p4,0.8,0.0001,0.5,,0.8666666666666668,"[None, None, None]",0
Reinforce,stu11_adf_p4,0.9,0.001,0.05,,0.9166666666666666,"[None, None, None]",0
Reinforce,stu15_ade_p4,0.05,0.0001,0.05,,0.41,"[None, None, None]",0
Reinforce,stu15_ade_p4,0.1,0.0001,0.05,,0.4,"[None, None, None]",0
Reinforce,stu15_ade_p4,0.2,0.001,0.2,,0.4166666666666667,"[None, None, None]",0
Reinforce,stu15_ade_p4,0.3,0.0001,0.2,,0.40810810810810805,"[None, None, None]",0
Reinforce,stu15_ade_p4,0.4,0.001,0.5,,0.473015873015873,"[None, None, None]",0
Reinforce,stu15_ade_p4,0.5,0.001,0.05,,0.4377358490566038,"[None, None, None]",0
Reinforce,stu15_ade_p4,0.6,0.01,0.1,,0.38095238095238093,"[None, None, None]",0
Reinforce,stu15_ade_p4,0.7,0.0001,0.1,,0.39375,"[None, None, None]",0
