User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State,Task
369,main chart changed because of clicking a field,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1602700321848,8.850000000000001,same,"['IMDB_Rating', 'Major_Genre', 'None']","[10, 14, 16]",Foraging,p3
370,mouseover on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1602700322723,8.850000000000001,same,"['IMDB_Rating', 'Major_Genre', 'None']","[10, 14, 16]",Sensemaking,p3
372,mouseover on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1602700324417,8.850000000000001,same,"['IMDB_Rating', 'Major_Genre', 'None']","[10, 14, 16]",Sensemaking,p3
376,mouseover on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1602700327352,8.850000000000001,same,"['IMDB_Rating', 'Major_Genre', 'None']","[10, 14, 16]",Sensemaking,p3
382,mouseover on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1602700328997,8.850000000000001,same,"['IMDB_Rating', 'Major_Genre', 'None']","[10, 14, 16]",Sensemaking,p3
383,mouseout on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1602700329902,8.850000000000001,same,"['IMDB_Rating', 'Major_Genre', 'None']","[10, 14, 16]",Sensemaking,p3
386,mouseover on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1602700331401,8.850000000000001,same,"['IMDB_Rating', 'Major_Genre', 'None']","[10, 14, 16]",Sensemaking,p3
390,mouseover on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1602700334718,8.850000000000001,same,"['IMDB_Rating', 'Major_Genre', 'None']","[10, 14, 16]",Sensemaking,p3
393,mouseout on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1602700339044,8.850000000000001,same,"['IMDB_Rating', 'Major_Genre', 'None']","[10, 14, 16]",Sensemaking,p3
394,mouseover on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1602700341961,8.850000000000001,same,"['IMDB_Rating', 'Major_Genre', 'None']","[10, 14, 16]",Sensemaking,p3
