Time,State,action,reward,visualization,subtask
00:30:44,(Sensemaking+geo-0-1),pan,0.25,geo-0-1,2
00:30:45,(Sensemaking+geo-0-1),pan,0.25,geo-0-1,2
00:30:45,(Sensemaking+geo-0-1),pan,0.25,geo-0-1,2
00:30:45,(Sensemaking+geo-0-1),pan,0.25,geo-0-1,2
00:30:46,(Sensemaking+geo-0-1),pan,0.25,geo-0-1,2
00:30:48,(Sensemaking+geo-0-1),pan,0.25,geo-0-1,2
00:30:51,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,2
00:30:52,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,2
00:30:55,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,2
00:30:58,(Sensemaking+geo-0-1),pan,0.25,geo-0-1,2
00:30:58,(Sensemaking+geo-0-1),pan,0.25,geo-0-1,2
00:30:59,(Sensemaking+geo-0-1),pan,0.5,geo-0-1,2
00:31:00,(Sensemaking+geo-0-1),pan,0.5,geo-0-1,2
00:31:00,(Sensemaking+geo-0-1),pan,0.5,geo-0-1,2
00:31:01,(Sensemaking+geo-0-1),pan,0.5,geo-0-1,2
00:31:02,(Sensemaking+geo-0-1),pan,0.5,geo-0-1,2
00:31:03,(Sensemaking+geo-0-1),pan,0.5,geo-0-1,2
00:31:03,(Sensemaking+geo-0-1),pan,0.5,geo-0-1,2
00:31:05,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,2
00:31:06,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,2
00:31:06,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,2
00:31:08,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,2
00:31:11,(Interface-feedback+geo-0-1),range select,0.0,geo-0-1,2
00:31:12,(Interface-feedback+geo-0-1),range select,0.0,geo-0-1,2
00:31:14,(Interface-feedback+geo-0-1),range select,0.0,geo-0-1,2
00:31:34,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:31:35,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:31:36,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:31:36,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:31:37,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:31:38,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:31:38,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:31:40,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:31:40,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:31:41,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:31:42,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:31:42,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:31:43,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:31:44,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:31:45,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:31:46,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:31:47,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:31:48,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:31:49,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:31:50,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:31:51,(Question+geo-0-1),pan,0.0,geo-0-1,2
00:31:56,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,2
00:31:57,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,2
00:31:58,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,2
00:31:59,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,2
00:32:15,(Sensemaking+hist-4),brush,1.0,hist-4,2
00:32:21,(Sensemaking+geo-0-1),pan,0.5,geo-0-1,2
00:32:22,(Sensemaking+geo-0-1),pan,1.0,geo-0-1,2
00:32:25,(Sensemaking+geo-0-1),range select,1.0,geo-0-1,2
00:32:27,(Question+geo-0-1),range select,0.0,geo-0-1,3
00:32:29,(Question+geo-0-1),range select,0.0,geo-0-1,3
00:32:32,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:32:33,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:32:34,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:32:35,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:32:36,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:32:37,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:32:38,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:32:39,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:32:40,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:32:41,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:32:49,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:32:50,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:32:51,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:32:51,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:32:52,(Question+geo-0-1),pan,0.0,geo-0-1,3
00:32:52,(Question+geo-0-1),pan,0.0,geo-0-1,3
00:32:53,(Question+geo-0-1),zoom,0.0,geo-0-1,3
00:32:55,(Question+geo-0-1),range select,0.0,geo-0-1,3
00:32:58,(Question+geo-0-1),range select,0.0,geo-0-1,3
00:33:04,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
