Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward
Reinforce,pro8_acf_p3,0.7,0.1,0.1,,0.5714285714285714,"[None, None, None]",0
Reinforce,pro8_acf_p3,0.8,0.01,0.8,,0.6521739130434783,"[None, None, None]",0
Reinforce,pro8_acf_p3,0.9,0.5,0.05,,0.5,"[None, None, None]",0
Reinforce,pro29_ace_p3,0.05,0.01,0.1,,0.7352941176470589,"[None, None, None]",0
Reinforce,pro29_ace_p3,0.1,0.001,0.05,,0.7329192546583851,"[None, None, None]",0
Reinforce,pro29_ace_p3,0.2,0.01,0.05,,0.7272727272727273,"[None, None, None]",0
Reinforce,pro29_ace_p3,0.3,0.01,0.05,,0.76,"[None, None, None]",0
Reinforce,pro29_ace_p3,0.4,0.01,0.05,,0.7289719626168224,"[None, None, None]",0
Reinforce,pro29_ace_p3,0.5,0.01,0.05,,0.6853932584269663,"[None, None, None]",0
Reinforce,pro29_ace_p3,0.6,0.01,0.05,,0.6388888888888888,"[None, None, None]",0
Reinforce,pro29_ace_p3,0.7,0.01,0.05,,0.6296296296296297,"[None, None, None]",0
Reinforce,pro29_ace_p3,0.8,0.01,0.05,,0.6388888888888888,"[None, None, None]",0
Reinforce,pro29_ace_p3,0.9,0.01,0.05,,0.8333333333333334,"[None, None, None]",0
Reinforce,stu17_ace_p3,0.05,0.0001,0.1,,0.2916666666666667,"[None, None, None]",0
Reinforce,stu17_ace_p3,0.1,0.001,0.05,,0.35294117647058826,"[None, None, None]",0
Reinforce,stu17_ace_p3,0.2,0.01,0.05,,0.4,"[None, None, None]",0
Reinforce,stu17_ace_p3,0.3,0.0001,0.9,,0.2830188679245283,"[None, None, None]",0
Reinforce,stu17_ace_p3,0.4,0.01,0.1,,0.24444444444444444,"[None, None, None]",0
Reinforce,stu17_ace_p3,0.5,0.01,0.1,,0.47368421052631576,"[None, None, None]",0
Reinforce,stu17_ace_p3,0.6,0.01,0.2,,0.36666666666666664,"[None, None, None]",0
Reinforce,stu17_ace_p3,0.7,0.01,0.2,,0.391304347826087,"[None, None, None]",0
Reinforce,stu17_ace_p3,0.8,0.01,0.05,,0.26666666666666666,"[None, None, None]",0
Reinforce,stu17_ace_p3,0.9,0.1,0.2,,0.5,"[None, None, None]",0
Reinforce,pro21_ade_p3,0.05,0.001,0.5,,0.46184738955823296,"[None, None, None]",0
Reinforce,pro21_ade_p3,0.1,0.01,0.1,,0.4449152542372881,"[None, None, None]",0
Reinforce,pro21_ade_p3,0.2,0.01,0.1,,0.4380952380952381,"[None, None, None]",0
Reinforce,pro21_ade_p3,0.3,0.01,0.05,,0.41847826086956524,"[None, None, None]",0
Reinforce,pro21_ade_p3,0.4,0.01,0.2,,0.5253164556962026,"[None, None, None]",0
Reinforce,pro21_ade_p3,0.5,0.01,0.05,,0.5114503816793893,"[None, None, None]",0
Reinforce,pro21_ade_p3,0.6,0.01,0.05,,0.5238095238095238,"[None, None, None]",0
Reinforce,pro21_ade_p3,0.7,0.01,0.1,,0.5443037974683544,"[None, None, None]",0
Reinforce,pro21_ade_p3,0.8,0.01,0.1,,0.4716981132075472,"[None, None, None]",0
Reinforce,pro21_ade_p3,0.9,0.1,0.1,,0.5925925925925926,"[None, None, None]",0
Reinforce,pro9_acf_p3,0.05,0.01,0.05,,0.5932203389830508,"[None, None, None]",0
Reinforce,pro9_acf_p3,0.1,0.01,0.99,,0.5833333333333334,"[None, None, None]",0
Reinforce,pro9_acf_p3,0.2,0.01,0.05,,0.5771812080536913,"[None, None, None]",0
Reinforce,pro9_acf_p3,0.3,0.01,0.05,,0.6106870229007634,"[None, None, None]",0
Reinforce,pro9_acf_p3,0.4,0.01,0.05,,0.5446428571428571,"[None, None, None]",0
Reinforce,pro9_acf_p3,0.5,0.1,0.9,,0.5483870967741935,"[None, None, None]",0
Reinforce,pro9_acf_p3,0.6,0.01,0.05,,0.5866666666666667,"[None, None, None]",0
Reinforce,pro9_acf_p3,0.7,0.01,0.5,,0.6071428571428571,"[None, None, None]",0
Reinforce,pro9_acf_p3,0.8,0.01,0.05,,0.5526315789473685,"[None, None, None]",0
Reinforce,pro9_acf_p3,0.9,0.1,0.1,,0.5263157894736842,"[None, None, None]",0
Reinforce,pro20_ade_p3,0.05,0.1,0.5,,0.4721189591078067,"[None, None, None]",0
Reinforce,pro20_ade_p3,0.1,0.01,0.1,,0.5686274509803921,"[None, None, None]",0
Reinforce,pro20_ade_p3,0.2,0.01,0.9,,0.6563876651982379,"[None, None, None]",0
Reinforce,pro20_ade_p3,0.3,0.01,0.2,,0.628140703517588,"[None, None, None]",0
Reinforce,pro20_ade_p3,0.4,0.01,0.2,,0.6529411764705882,"[None, None, None]",0
Reinforce,pro20_ade_p3,0.5,0.01,0.1,,0.6267605633802817,"[None, None, None]",0
Reinforce,pro20_ade_p3,0.6,0.01,0.05,,0.6140350877192983,"[None, None, None]",0
Reinforce,pro20_ade_p3,0.7,0.1,0.2,,0.47058823529411764,"[None, None, None]",0
Reinforce,pro20_ade_p3,0.8,0.1,0.05,,0.543859649122807,"[None, None, None]",0
Reinforce,pro20_ade_p3,0.9,0.01,0.05,,0.7586206896551724,"[None, None, None]",0
Reinforce,stu11_adf_p3,0.05,0.001,0.9,,0.5328467153284672,"[None, None, None]",0
Reinforce,stu11_adf_p3,0.1,0.001,0.05,,0.5384615384615384,"[None, None, None]",0
Reinforce,stu11_adf_p3,0.2,0.01,0.8,,0.5775862068965517,"[None, None, None]",0
Reinforce,stu11_adf_p3,0.3,0.01,0.9,,0.42574257425742573,"[None, None, None]",0
Reinforce,stu11_adf_p3,0.4,0.01,0.05,,0.367816091954023,"[None, None, None]",0
Reinforce,stu11_adf_p3,0.5,0.01,0.05,,0.3888888888888889,"[None, None, None]",0
Reinforce,stu11_adf_p3,0.6,0.01,0.05,,0.3275862068965517,"[None, None, None]",0
Reinforce,stu11_adf_p3,0.7,0.1,0.05,,0.5681818181818182,"[None, None, None]",0
Reinforce,stu11_adf_p3,0.8,0.01,0.1,,0.5172413793103449,"[None, None, None]",0
Reinforce,stu11_adf_p3,0.9,0.01,0.8,,0.26666666666666666,"[None, None, None]",0
Reinforce,stu21_ace_p3,0.05,0.0001,0.1,,0.3516483516483517,"[None, None, None]",0
Reinforce,stu21_ace_p3,0.1,0.1,0.5,,0.5,"[None, None, None]",0
Reinforce,stu21_ace_p3,0.2,0.01,0.1,,0.5,"[None, None, None]",0
Reinforce,stu21_ace_p3,0.3,0.1,0.2,,0.3582089552238806,"[None, None, None]",0
Reinforce,stu21_ace_p3,0.4,0.1,0.1,,0.49122807017543857,"[None, None, None]",0
Reinforce,stu21_ace_p3,0.5,0.01,0.05,,0.5,"[None, None, None]",0
Reinforce,stu21_ace_p3,0.6,0.01,0.05,,0.42105263157894735,"[None, None, None]",0
Reinforce,stu21_ace_p3,0.7,0.1,0.05,,0.5862068965517241,"[None, None, None]",0
Reinforce,stu21_ace_p3,0.8,0.01,0.9,,0.3684210526315789,"[None, None, None]",0
Reinforce,stu21_ace_p3,0.9,0.01,0.05,,0.5,"[None, None, None]",0
Reinforce,stu10_acf_p3,0.05,0.001,0.5,,0.6566265060240963,"[None, None, None]",0
Reinforce,stu10_acf_p3,0.1,0.001,0.05,,0.6687898089171974,"[None, None, None]",0
Reinforce,stu10_acf_p3,0.2,0.01,0.8,,0.7,"[None, None, None]",0
Reinforce,stu10_acf_p3,0.3,0.01,0.1,,0.7868852459016393,"[None, None, None]",0
Reinforce,stu10_acf_p3,0.4,0.01,0.9,,0.7142857142857143,"[None, None, None]",0
Reinforce,stu10_acf_p3,0.5,0.01,0.05,,0.7011494252873564,"[None, None, None]",0
Reinforce,stu10_acf_p3,0.6,0.1,0.05,,0.6285714285714286,"[None, None, None]",0
Reinforce,stu10_acf_p3,0.7,0.01,0.05,,0.6981132075471698,"[None, None, None]",0
Reinforce,stu10_acf_p3,0.8,0.01,0.05,,0.7714285714285715,"[None, None, None]",0
Reinforce,stu10_acf_p3,0.9,0.01,0.9,,1.0,"[None, None, None]",0
Reinforce,stu13_acf_p3,0.05,0.01,0.1,,0.4014084507042254,"[None, None, None]",0
Reinforce,stu13_acf_p3,0.1,0.01,0.05,,0.5111111111111111,"[None, None, None]",0
Reinforce,stu13_acf_p3,0.2,0.01,0.05,,0.475,"[None, None, None]",0
Reinforce,stu13_acf_p3,0.3,0.001,0.05,,0.5333333333333333,"[None, None, None]",0
Reinforce,stu13_acf_p3,0.4,0.01,0.5,,0.4888888888888889,"[None, None, None]",0
Reinforce,stu13_acf_p3,0.5,0.01,0.05,,0.48,"[None, None, None]",0
Reinforce,stu13_acf_p3,0.6,0.001,0.2,,0.5333333333333333,"[None, None, None]",0
Reinforce,stu13_acf_p3,0.7,0.01,0.05,,0.4888888888888889,"[None, None, None]",0
Reinforce,stu13_acf_p3,0.8,1.0,0.8,,0.43333333333333335,"[None, None, None]",0
Reinforce,stu13_acf_p3,0.9,0.01,0.1,,0.4,"[None, None, None]",0
Reinforce,stu25_ace_p3,0.05,0.0001,0.99,,0.30952380952380953,"[None, None, None]",0
Reinforce,stu25_ace_p3,0.1,0.01,0.5,,0.6625,"[None, None, None]",0
Reinforce,stu25_ace_p3,0.2,0.01,0.1,,0.676056338028169,"[None, None, None]",0
Reinforce,stu25_ace_p3,0.3,0.01,0.9,,0.6290322580645161,"[None, None, None]",0
Reinforce,stu25_ace_p3,0.4,0.1,0.1,,0.5849056603773585,"[None, None, None]",0
Reinforce,stu25_ace_p3,0.5,0.01,0.05,,0.5,"[None, None, None]",0
Reinforce,stu25_ace_p3,0.6,0.5,0.99,,0.4166666666666667,"[None, None, None]",0
Reinforce,stu25_ace_p3,0.7,1.0,0.9,,0.4074074074074074,"[None, None, None]",0
Reinforce,stu25_ace_p3,0.8,0.01,0.99,,0.3888888888888889,"[None, None, None]",0
Reinforce,stu25_ace_p3,0.9,0.001,0.05,,0.5555555555555556,"[None, None, None]",0
Reinforce,stu24_ace_p3,0.05,0.01,0.5,,0.5297619047619048,"[None, None, None]",0
Reinforce,stu24_ace_p3,0.1,0.01,0.5,,0.41509433962264153,"[None, None, None]",0
Reinforce,stu24_ace_p3,0.2,0.01,0.05,,0.524822695035461,"[None, None, None]",0
Reinforce,stu24_ace_p3,0.3,0.01,0.2,,0.6290322580645161,"[None, None, None]",0
Reinforce,stu24_ace_p3,0.4,0.1,0.1,,0.5943396226415094,"[None, None, None]",0
Reinforce,stu24_ace_p3,0.5,0.01,0.5,,0.6022727272727273,"[None, None, None]",0
Reinforce,stu24_ace_p3,0.6,0.01,0.1,,0.5492957746478874,"[None, None, None]",0
Reinforce,stu24_ace_p3,0.7,0.01,0.05,,0.6792452830188679,"[None, None, None]",0
Reinforce,stu24_ace_p3,0.8,0.01,0.05,,0.3888888888888889,"[None, None, None]",0
Reinforce,stu24_ace_p3,0.9,0.01,0.2,,0.3333333333333333,"[None, None, None]",0
Reinforce,stu30_adf_p3,0.05,0.01,0.05,,0.2109375,"[None, None, None]",0
Reinforce,stu30_adf_p3,0.1,0.001,0.5,,0.5537190082644629,"[None, None, None]",0
Reinforce,stu30_adf_p3,0.2,0.01,0.9,,0.5648148148148148,"[None, None, None]",0
Reinforce,stu30_adf_p3,0.3,0.01,0.05,,0.5531914893617021,"[None, None, None]",0
Reinforce,stu30_adf_p3,0.4,0.01,0.05,,0.5185185185185185,"[None, None, None]",0
Reinforce,stu30_adf_p3,0.5,0.5,0.1,,0.2537313432835821,"[None, None, None]",0
Reinforce,stu30_adf_p3,0.6,0.001,0.1,,0.5185185185185185,"[None, None, None]",0
Reinforce,stu30_adf_p3,0.7,0.01,0.05,,0.5853658536585366,"[None, None, None]",0
Reinforce,stu30_adf_p3,0.8,0.01,0.9,,0.7037037037037037,"[None, None, None]",0
Reinforce,stu30_adf_p3,0.9,0.01,0.9,,0.8571428571428571,"[None, None, None]",0
Reinforce,stu31_ade_p3,0.05,0.01,0.05,,0.49295774647887325,"[None, None, None]",0
Reinforce,stu31_ade_p3,0.1,0.01,0.1,,0.5111111111111111,"[None, None, None]",0
Reinforce,stu31_ade_p3,0.2,0.01,0.1,,0.375,"[None, None, None]",0
Reinforce,stu31_ade_p3,0.3,0.01,0.1,,0.5142857142857142,"[None, None, None]",0
Reinforce,stu31_ade_p3,0.4,0.01,0.05,,0.34444444444444444,"[None, None, None]",0
Reinforce,stu31_ade_p3,0.5,0.1,0.05,,0.38666666666666666,"[None, None, None]",0
Reinforce,stu31_ade_p3,0.6,0.01,0.2,,0.48333333333333334,"[None, None, None]",0
