Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon,Openended,Task,participant_id,user,threshold,ncp-1,rank
ActorCritic,pro9_acf_p4,0.2,0.001,0.8,1.0,0.5142857142857142,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro9_acf_p4,0.3,0.0001,0.8,1.0,0.5,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro9_acf_p4,0.4,0.001,0.2,1.0,0.5443037974683544,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro9_acf_p4,0.5,0.001,0.05,1.0,0.5303030303030303,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro9_acf_p4,0.6,0.1,0.2,1.0,0.5094339622641509,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro9_acf_p4,0.7,0.001,0.05,1.0,0.5,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro9_acf_p4,0.8,0.1,0.5,1.0,0.5185185185185185,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro9_acf_p4,0.9,0.0001,0.5,1.0,0.6428571428571429,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro17_ace_p4,0.05,0.001,0.8,1.0,0.5538461538461539,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro17_ace_p4,0.1,0.0001,0.1,1.0,0.540650406504065,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro17_ace_p4,0.2,0.0001,0.99,1.0,0.5205479452054794,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro17_ace_p4,0.3,0.001,0.05,1.0,0.546875,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro17_ace_p4,0.4,0.1,0.8,1.0,0.5914634146341463,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro17_ace_p4,0.5,0.001,0.5,1.0,0.6204379562043796,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro17_ace_p4,0.6,0.0001,0.05,1.0,0.6545454545454545,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro17_ace_p4,0.7,0.1,0.99,1.0,0.6097560975609756,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro17_ace_p4,0.8,0.0001,0.1,1.0,0.5636363636363636,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro17_ace_p4,0.9,0.0001,0.9,1.0,0.7857142857142857,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
