Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon,Openended,Task,participant_id,user,threshold,ncp-1,rank
ActorCritic,pro15_ade_p1,0.8,0.0001,0.9,1.0,0.8,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro15_ade_p1,0.9,0.0001,0.5,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro13_ace_p1,0.05,0.0001,0.1,1.0,0.7916666666666666,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro13_ace_p1,0.1,0.1,0.8,1.0,0.8260869565217391,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro13_ace_p1,0.2,0.0001,0.5,1.0,0.8,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro13_ace_p1,0.3,0.001,0.2,1.0,0.8888888888888888,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro13_ace_p1,0.4,0.0001,0.05,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro13_ace_p1,0.5,0.0001,0.1,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro13_ace_p1,0.6,0.0001,0.5,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro13_ace_p1,0.7,0.0001,0.5,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro13_ace_p1,0.8,0.0001,0.2,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro13_ace_p1,0.9,0.0001,0.2,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro24_adf_p1,0.05,0.0001,0.8,1.0,0.40625,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro24_adf_p1,0.1,0.0001,0.9,1.0,0.5,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
ActorCritic,pro24_adf_p1,0.2,0.0001,0.9,1.0,0.5185185185185185,"[None, None, None]",0.0,0.0,Focused,p1,,,,,
